QuarterEnding,HBT,HBTQF,PatientType,Specialty,SpecialtyQF,NumberWaiting,NumberWaitingQF,Available,AvailableQF,Unavailable,UnavailableQF,MedicalTotal,MedicalTotalQF,MedicalOtherMedicalCondition,MedicalOtherMedicalConditionQF,MedicalIndefinitelyUnavailable,MedicalIndefinitelyUnavailableQF,MedicalOther,MedicalOtherQF,PatientAdvisedTotal,PatientAdvisedTotalQF,PatientAdvisedHoliday,PatientAdvisedHolidayQF,PatientAdvisedPersonalCommitment,PatientAdvisedPersonalCommitmentQF,PatientAdvisedWorkCommitment,PatientAdvisedWorkCommitmentQF,PatientAdvisedCarerCommitment,PatientAdvisedCarerCommitmentQF,PatientAdvisedAcademicCommitment,PatientAdvisedAcademicCommitmentQF,PatientAdvisedJuryDuty,PatientAdvisedJuryDutyQF,PatientAdvisedWeather,PatientAdvisedWeatherQF,PatientAdvisedIndefinitelyUnavailable,PatientAdvisedIndefinitelyUnavailableQF,PatientAdvisedOther,PatientAdvisedOtherQF,PatientRequestedTotal,PatientRequestedTotalQF,PatientRequestedNamedConsultant,PatientRequestedNamedConsultantQF,PatientRequestedTreatedLocalHealthBoard,PatientRequestedTreatedLocalHealthBoardQF,SuspensionExceptionalCircumstances,SuspensionExceptionalCircumstancesQF,PFBUnavailability,PFBUnavailabilityQF
20150630,S92000003,d,Inpatient/Day case,Z9,d,55583,,43350,,12233,,2329,,2323,,6,,0,,5894,,2287,,2835,,610,,66,,78,,5,,1,,2,,10,,4005,,2521,,1484,,0,,5,
20150930,S92000003,d,Inpatient/Day case,Z9,d,57208,,46020,,11188,,2286,,2285,,1,,0,,4940,,1515,,2674,,614,,56,,67,,1,,0,,4,,9,,3959,,2357,,1602,,0,,3,
20151231,S92000003,d,Inpatient/Day case,Z9,d,58652,,46479,,12173,,2348,,2340,,8,,0,,5502,,985,,3633,,694,,84,,74,,0,,1,,2,,29,,4319,,2619,,1700,,0,,4,
20160331,S92000003,d,Inpatient/Day case,Z9,d,58797,,48630,,10167,,2253,,2250,,3,,0,,4145,,1072,,2244,,518,,72,,156,,2,,0,,4,,77,,3764,,2337,,1427,,0,,5,
20160630,S92000003,d,Inpatient/Day case,Z9,d,58632,,48457,,10175,,2036,,2035,,1,,0,,5797,,2405,,2738,,463,,68,,69,,4,,1,,1,,48,,2342,,1613,,729,,0,,0,
20160930,S92000003,d,Inpatient/Day case,Z9,d,60783,,53695,,7088,,1746,,1745,,1,,0,,4319,,1563,,2076,,531,,69,,71,,1,,5,,0,,3,,1021,,898,,123,,0,,2,
20161231,S92000003,d,Inpatient/Day case,Z9,d,61790,,54929,,6861,,1722,,1720,,2,,0,,4418,,1034,,2747,,509,,70,,54,,1,,2,,0,,1,,717,,551,,166,,0,,4,
20170331,S92000003,d,Inpatient/Day case,Z9,d,64134,,58237,,5897,,1792,,1792,,0,,0,,3412,,1044,,1799,,387,,36,,140,,5,,0,,1,,0,,691,,556,,135,,0,,2,
20170630,S92000003,d,Inpatient/Day case,Z9,d,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:
20170930,S92000003,d,Inpatient/Day case,Z9,d,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:
20171231,S92000003,d,Inpatient/Day case,Z9,d,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:
20180331,S92000003,d,Inpatient/Day case,Z9,d,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:
20180630,S92000003,d,Inpatient/Day case,Z9,d,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:
20180930,S92000003,d,Inpatient/Day case,Z9,d,74355,,68960,,5395,,1465,,1461,,4,,0,,3597,,1397,,1706,,404,,47,,35,,2,,2,,3,,1,,330,,275,,55,,1,,2,
20181231,S92000003,d,Inpatient/Day case,Z9,d,77267,,71419,,5848,,1510,,1508,,2,,0,,3890,,907,,2404,,480,,57,,37,,0,,0,,5,,0,,446,,359,,87,,0,,2,
20190331,S92000003,d,Inpatient/Day case,Z9,d,75646,,70586,,5060,,1613,,1613,,0,,0,,3055,,942,,1616,,348,,39,,109,,0,,0,,1,,0,,391,,307,,84,,0,,1,
20190630,S92000003,d,Inpatient/Day case,Z9,d,75548,,69255,,6293,,1508,,1506,,2,,0,,4426,,1930,,2014,,370,,62,,42,,2,,1,,5,,0,,358,,294,,64,,0,,1,
20190930,S92000003,d,Inpatient/Day case,Z9,d,77173,,71108,,6065,,1618,,1617,,1,,0,,3968,,1564,,1844,,455,,53,,44,,0,,3,,5,,0,,478,,385,,93,,1,,0,
20191231,S92000003,d,Inpatient/Day case,Z9,d,79775,,73663,,6112,,1661,,1657,,4,,0,,4124,,930,,2560,,530,,50,,50,,2,,0,,2,,0,,323,,236,,87,,0,,4,
20200331,S92000003,d,Inpatient/Day case,Z9,d,78737,,74764,,3973,,1382,,1377,,5,,0,,2227,,580,,1273,,248,,36,,88,,0,,1,,1,,0,,271,,207,,64,,85,,8,
20200630,S92000003,d,Inpatient/Day case,Z9,d,84956,,83408,,1548,,636,,633,,3,,0,,722,,287,,350,,63,,11,,10,,0,,0,,1,,0,,39,,33,,6,,144,,7,
20200930,S92000003,d,Inpatient/Day case,Z9,d,85195,,82902,,2293,,797,,793,,4,,0,,1173,,190,,691,,238,,41,,11,,0,,0,,1,,1,,60,,40,,20,,262,,1,
20201231,S92000003,d,Inpatient/Day case,Z9,d,85097,,81876,,3221,,892,,887,,5,,0,,1692,,53,,1259,,318,,39,,21,,0,,0,,2,,0,,48,,38,,10,,589,,0,
20210331,S92000003,d,Inpatient/Day case,Z9,d,94566,,92177,,2389,,939,,936,,3,,0,,911,,18,,646,,180,,34,,28,,0,,0,,1,,4,,63,,52,,11,,476,,0,
20210630,S92000003,d,Inpatient/Day case,Z9,d,96888,,93498,,3390,,1268,,1264,,4,,0,,1940,,332,,1186,,344,,48,,24,,1,,1,,1,,3,,63,,54,,9,,119,,0,
20210930,S92000003,d,Inpatient/Day case,Z9,d,105869,,103157,,2712,,1119,,1116,,3,,0,,1403,,292,,835,,220,,37,,13,,0,,0,,2,,4,,74,,68,,6,,116,,0,
20211231,S92000003,d,Inpatient/Day case,Z9,d,119364,,116176,,3188,,1230,,1227,,3,,0,,1747,,262,,1210,,230,,30,,13,,0,,0,,1,,1,,73,,72,,1,,138,,0,
20220331,S92000003,d,Inpatient/Day case,Z9,d,131620,,127853,,3767,,1560,,1557,,3,,0,,1834,,409,,1107,,235,,46,,37,,0,,0,,0,,0,,49,,46,,3,,324,,0,
20121231,SB0801,,Inpatient/Day case,Z9,d,734,,603,,131,,60,,60,,0,,0,,64,,10,,43,,3,,2,,0,,0,,0,,0,,6,,7,,7,,0,,0,,0,
20130331,SB0801,,Inpatient/Day case,Z9,d,768,,657,,111,,60,,60,,0,,0,,48,,5,,39,,2,,1,,1,,0,,0,,0,,0,,3,,3,,0,,0,,0,
20130630,SB0801,,Inpatient/Day case,Z9,d,732,,579,,153,,74,,74,,0,,0,,73,,31,,39,,2,,0,,1,,0,,0,,0,,0,,6,,6,,0,,0,,0,
20130930,SB0801,,Inpatient/Day case,Z9,d,835,,689,,146,,86,,86,,0,,0,,49,,21,,22,,6,,0,,0,,0,,0,,0,,0,,11,,11,,0,,0,,0,
20131231,SB0801,,Inpatient/Day case,Z9,d,1055,,857,,198,,108,,108,,0,,0,,77,,11,,57,,9,,0,,0,,0,,0,,0,,0,,13,,13,,0,,0,,0,
20140331,SB0801,,Inpatient/Day case,Z9,d,985,,853,,132,,79,,79,,0,,0,,44,,6,,34,,4,,0,,0,,0,,0,,0,,0,,9,,9,,0,,0,,0,
20140630,SB0801,,Inpatient/Day case,Z9,d,988,,848,,140,,74,,74,,0,,0,,66,,26,,39,,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
20140930,SB0801,,Inpatient/Day case,Z9,d,788,,655,,133,,84,,83,,1,,0,,48,,13,,24,,9,,0,,2,,0,,0,,0,,0,,1,,1,,0,,0,,0,
20141231,SB0801,,Inpatient/Day case,Z9,d,732,,583,,149,,93,,93,,0,,0,,51,,7,,37,,5,,0,,2,,0,,0,,0,,0,,5,,5,,0,,0,,0,
20150331,SB0801,,Inpatient/Day case,Z9,d,686,,535,,151,,101,,101,,0,,0,,50,,4,,32,,8,,0,,5,,0,,0,,0,,1,,0,,0,,0,,0,,0,
20150630,SB0801,,Inpatient/Day case,Z9,d,682,,517,,165,,104,,104,,0,,0,,60,,31,,21,,4,,0,,4,,0,,0,,0,,0,,1,,1,,0,,0,,0,
20150930,SB0801,,Inpatient/Day case,Z9,d,725,,584,,141,,93,,93,,0,,0,,44,,20,,20,,2,,1,,1,,0,,0,,0,,0,,4,,4,,0,,0,,0,
20151231,SB0801,,Inpatient/Day case,Z9,d,826,,653,,173,,105,,105,,0,,0,,68,,10,,47,,6,,0,,5,,0,,0,,0,,0,,0,,0,,0,,0,,0,
20160331,SB0801,,Inpatient/Day case,Z9,d,800,,688,,112,,64,,64,,0,,0,,47,,10,,22,,5,,0,,10,,0,,0,,0,,0,,1,,1,,0,,0,,0,
20160630,SB0801,,Inpatient/Day case,Z9,d,783,,657,,126,,68,,68,,0,,0,,56,,27,,22,,3,,0,,4,,0,,0,,0,,0,,2,,2,,0,,0,,0,
20160930,SB0801,,Inpatient/Day case,Z9,d,810,,706,,104,,74,,74,,0,,0,,30,,11,,13,,4,,1,,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,
20161231,SB0801,,Inpatient/Day case,Z9,d,1001,,858,,143,,80,,80,,0,,0,,55,,9,,40,,4,,0,,2,,0,,0,,0,,0,,8,,8,,0,,0,,0,
20170331,SB0801,,Inpatient/Day case,Z9,d,982,,879,,103,,65,,65,,0,,0,,35,,13,,12,,7,,1,,2,,0,,0,,0,,0,,3,,3,,0,,0,,0,
20170630,SB0801,,Inpatient/Day case,Z9,d,933,,814,,119,,67,,67,,0,,0,,50,,22,,25,,2,,0,,1,,0,,0,,0,,0,,2,,2,,0,,0,,0,
20170930,SB0801,,Inpatient/Day case,Z9,d,974,,829,,145,,92,,92,,0,,0,,45,,11,,28,,4,,0,,2,,0,,0,,0,,0,,8,,8,,0,,0,,0,
20171231,SB0801,,Inpatient/Day case,Z9,d,1052,,899,,153,,86,,86,,0,,0,,62,,10,,45,,5,,0,,2,,0,,0,,0,,0,,5,,5,,0,,0,,0,
20180331,SB0801,,Inpatient/Day case,Z9,d,990,,869,,121,,77,,77,,0,,0,,42,,10,,16,,6,,2,,8,,0,,0,,0,,0,,2,,2,,0,,0,,0,
20180630,SB0801,,Inpatient/Day case,Z9,d,1217,,1078,,139,,76,,76,,0,,0,,62,,29,,26,,5,,1,,1,,0,,0,,0,,0,,1,,1,,0,,0,,0,
20180930,SB0801,,Inpatient/Day case,Z9,d,1288,,1139,,149,,110,,110,,0,,0,,39,,12,,20,,5,,0,,2,,0,,0,,0,,0,,0,,0,,0,,0,,0,
20181231,SB0801,,Inpatient/Day case,Z9,d,1252,,1103,,149,,89,,89,,0,,0,,60,,11,,41,,2,,0,,6,,0,,0,,0,,0,,0,,0,,0,,0,,0,
20190331,SB0801,,Inpatient/Day case,Z9,d,1168,,1018,,150,,101,,101,,0,,0,,48,,12,,31,,2,,0,,3,,0,,0,,0,,0,,1,,1,,0,,0,,0,
20190630,SB0801,,Inpatient/Day case,Z9,d,1323,,1179,,144,,98,,98,,0,,0,,45,,16,,24,,3,,0,,2,,0,,0,,0,,0,,1,,1,,0,,0,,0,
20190930,SB0801,,Inpatient/Day case,Z9,d,1296,,1145,,151,,84,,84,,0,,0,,65,,26,,34,,4,,0,,1,,0,,0,,0,,0,,2,,2,,0,,0,,0,
20191231,SB0801,,Inpatient/Day case,Z9,d,1427,,1272,,155,,88,,88,,0,,0,,67,,6,,54,,5,,0,,2,,0,,0,,0,,0,,0,,0,,0,,0,,0,
20200331,SB0801,,Inpatient/Day case,Z9,d,1311,,1104,,207,,187,,187,,0,,0,,20,,4,,13,,1,,0,,2,,0,,0,,0,,0,,0,,0,,0,,0,,0,
20200630,SB0801,,Inpatient/Day case,Z9,d,1250,,1092,,158,,146,,146,,0,,0,,12,,0,,11,,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
20200930,SB0801,,Inpatient/Day case,Z9,d,1184,,1077,,107,,87,,87,,0,,0,,20,,4,,16,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
20201231,SB0801,,Inpatient/Day case,Z9,d,1143,,1019,,124,,76,,76,,0,,0,,48,,2,,42,,3,,0,,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,
20210331,SB0801,,Inpatient/Day case,Z9,d,1129,,993,,136,,105,,105,,0,,0,,31,,0,,22,,8,,0,,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,
20210630,SB0801,,Inpatient/Day case,Z9,d,1334,,1208,,126,,98,,98,,0,,0,,28,,7,,15,,4,,0,,2,,0,,0,,0,,0,,0,,0,,0,,0,,0,
20210930,SB0801,,Inpatient/Day case,Z9,d,1398,,1294,,104,,81,,81,,0,,0,,23,,3,,18,,2,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
20211231,SB0801,,Inpatient/Day case,Z9,d,1473,,1332,,141,,102,,102,,0,,0,,39,,5,,30,,4,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
20220331,SB0801,,Inpatient/Day case,Z9,d,1517,,1441,,76,,53,,53,,0,,0,,23,,5,,16,,1,,0,,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,
20121231,S08000017,,Inpatient/Day case,Z9,d,1391,,1182,,209,,27,,19,,8,,0,,153,,47,,1,,35,,7,,2,,0,,0,,60,,1,,29,,12,,17,,0,,0,
20130331,S08000017,,Inpatient/Day case,Z9,d,1509,,1344,,165,,36,,23,,11,,2,,120,,34,,29,,16,,3,,4,,0,,0,,33,,1,,9,,6,,3,,0,,0,
20130630,S08000017,,Inpatient/Day case,Z9,d,1609,,1390,,219,,22,,5,,16,,1,,194,,73,,40,,11,,2,,4,,0,,0,,63,,1,,3,,2,,1,,0,,0,
20130930,S08000017,,Inpatient/Day case,Z9,d,1858,,1600,,258,,34,,14,,18,,2,,208,,67,,47,,18,,2,,6,,0,,0,,66,,2,,16,,9,,7,,0,,0,
20131231,S08000017,,Inpatient/Day case,Z9,d,1906,,1563,,343,,47,,28,,18,,1,,268,,43,,54,,29,,3,,0,,0,,0,,139,,0,,28,,9,,19,,0,,0,
20140331,S08000017,,Inpatient/Day case,Z9,d,2100,,1871,,229,,45,,21,,24,,0,,176,,48,,60,,31,,1,,0,,0,,0,,36,,0,,8,,4,,4,,0,,0,
20140630,S08000017,,Inpatient/Day case,Z9,d,2026,,1730,,296,,58,,29,,29,,0,,225,,83,,89,,31,,1,,2,,0,,0,,19,,0,,13,,5,,8,,0,,0,
20140930,S08000017,,Inpatient/Day case,Z9,d,1987,,1733,,254,,46,,42,,4,,0,,183,,78,,79,,23,,2,,1,,0,,0,,0,,0,,25,,8,,17,,0,,0,
20141231,S08000017,,Inpatient/Day case,Z9,d,2184,,1889,,295,,41,,38,,3,,0,,217,,30,,152,,26,,6,,1,,0,,0,,2,,0,,37,,13,,24,,0,,0,
20150331,S08000017,,Inpatient/Day case,Z9,d,1977,,1755,,222,,45,,39,,6,,0,,149,,33,,93,,21,,1,,1,,0,,0,,0,,0,,28,,12,,16,,0,,0,
20150630,S08000017,,Inpatient/Day case,Z9,d,2104,,1840,,264,,39,,35,,4,,0,,207,,85,,102,,19,,0,,0,,0,,1,,0,,0,,18,,3,,15,,0,,0,
20150930,S08000017,,Inpatient/Day case,Z9,d,2070,,1868,,202,,39,,39,,0,,0,,158,,65,,76,,16,,1,,0,,0,,0,,0,,0,,5,,2,,3,,0,,0,
20151231,S08000017,,Inpatient/Day case,Z9,d,2012,,1735,,277,,53,,53,,0,,0,,216,,35,,145,,33,,2,,1,,0,,0,,0,,0,,8,,4,,4,,0,,0,
20160331,S08000017,,Inpatient/Day case,Z9,d,2124,,1941,,183,,51,,51,,0,,0,,129,,27,,81,,18,,2,,1,,0,,0,,0,,0,,3,,2,,1,,0,,0,
20160630,S08000017,,Inpatient/Day case,Z9,d,2129,,1870,,259,,52,,51,,1,,0,,204,,66,,122,,15,,0,,1,,0,,0,,0,,0,,3,,0,,3,,0,,0,
20160930,S08000017,,Inpatient/Day case,Z9,d,2016,,1787,,229,,53,,53,,0,,0,,172,,57,,91,,24,,0,,0,,0,,0,,0,,0,,4,,4,,0,,0,,0,
20161231,S08000017,,Inpatient/Day case,Z9,d,2087,,1828,,259,,31,,30,,1,,0,,217,,31,,178,,8,,0,,0,,0,,0,,0,,0,,11,,4,,7,,0,,0,
20170331,S08000017,,Inpatient/Day case,Z9,d,2116,,1884,,232,,45,,45,,0,,0,,183,,38,,131,,13,,1,,0,,0,,0,,0,,0,,4,,3,,1,,0,,0,
20170630,S08000017,,Inpatient/Day case,Z9,d,1853,,1597,,256,,53,,52,,1,,0,,203,,50,,137,,15,,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
20170930,S08000017,,Inpatient/Day case,Z9,d,1863,,1628,,235,,59,,58,,1,,0,,165,,34,,115,,13,,1,,2,,0,,0,,0,,0,,11,,3,,8,,0,,0,
20171231,S08000017,,Inpatient/Day case,Z9,d,2089,,1793,,296,,63,,63,,0,,0,,222,,23,,174,,24,,0,,0,,0,,0,,1,,0,,11,,3,,8,,0,,0,
20180331,S08000017,,Inpatient/Day case,Z9,d,2038,,1797,,241,,40,,38,,2,,0,,174,,22,,137,,12,,0,,3,,0,,0,,0,,0,,27,,10,,17,,0,,0,
20180630,S08000017,,Inpatient/Day case,Z9,d,2238,,1851,,387,,60,,60,,0,,0,,269,,77,,166,,22,,3,,0,,0,,0,,1,,0,,58,,18,,40,,0,,0,
20180930,S08000017,,Inpatient/Day case,Z9,d,2227,,1955,,272,,35,,33,,2,,0,,214,,50,,146,,15,,0,,3,,0,,0,,0,,0,,23,,6,,17,,0,,0,
20181231,S08000017,,Inpatient/Day case,Z9,d,2159,,1805,,354,,46,,45,,1,,0,,261,,28,,212,,20,,1,,0,,0,,0,,0,,0,,47,,11,,36,,0,,0,
20190331,S08000017,,Inpatient/Day case,Z9,d,2202,,1980,,222,,48,,48,,0,,0,,145,,20,,116,,9,,0,,0,,0,,0,,0,,0,,29,,9,,20,,0,,0,
20190630,S08000017,,Inpatient/Day case,Z9,d,2196,,1935,,261,,51,,49,,2,,0,,198,,57,,123,,15,,1,,1,,0,,1,,0,,0,,12,,2,,10,,0,,0,
20190930,S08000017,,Inpatient/Day case,Z9,d,2200,,1936,,264,,48,,48,,0,,0,,201,,61,,126,,11,,2,,0,,0,,0,,1,,0,,15,,5,,10,,0,,0,
20191231,S08000017,,Inpatient/Day case,Z9,d,2365,,2068,,297,,59,,55,,4,,0,,224,,24,,180,,18,,2,,0,,0,,0,,0,,0,,14,,0,,14,,0,,0,
20200331,S08000017,,Inpatient/Day case,Z9,d,2335,,2179,,156,,40,,37,,3,,0,,108,,28,,67,,11,,1,,1,,0,,0,,0,,0,,8,,1,,7,,0,,0,
20200630,S08000017,,Inpatient/Day case,Z9,d,2382,,2296,,86,,29,,26,,3,,0,,56,,5,,43,,6,,1,,0,,0,,0,,1,,0,,1,,0,,1,,0,,0,
20200930,S08000017,,Inpatient/Day case,Z9,d,2062,,1890,,172,,13,,10,,3,,0,,157,,8,,119,,27,,3,,0,,0,,0,,0,,0,,2,,0,,2,,0,,0,
20201231,S08000017,,Inpatient/Day case,Z9,d,1656,,1487,,169,,30,,26,,4,,0,,139,,0,,127,,11,,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
20210331,S08000017,,Inpatient/Day case,Z9,d,1883,,1790,,93,,47,,44,,3,,0,,45,,0,,37,,6,,1,,1,,0,,0,,0,,0,,1,,0,,1,,0,,0,
20210630,S08000017,,Inpatient/Day case,Z9,d,2090,,1884,,206,,71,,68,,3,,0,,132,,11,,102,,13,,3,,3,,0,,0,,0,,0,,2,,0,,2,,1,,0,
20210930,S08000017,,Inpatient/Day case,Z9,d,2421,,2250,,171,,57,,54,,3,,0,,110,,17,,82,,10,,1,,0,,0,,0,,0,,0,,3,,2,,1,,1,,0,
20211231,S08000017,,Inpatient/Day case,Z9,d,2790,,2620,,170,,51,,48,,3,,0,,117,,9,,92,,16,,0,,0,,0,,0,,0,,0,,1,,1,,0,,1,,0,
20220331,S08000017,,Inpatient/Day case,Z9,d,2996,,2770,,226,,77,,74,,3,,0,,141,,15,,111,,15,,0,,0,,0,,0,,0,,0,,1,,0,,1,,7,,0,
20121231,S08000019,,Inpatient/Day case,Z9,d,2044,,1854,,190,,32,,32,,0,,0,,146,,49,,63,,25,,0,,0,,0,,0,,0,,9,,12,,12,,0,,0,,0,
20130331,S08000019,,Inpatient/Day case,Z9,d,2185,,2048,,137,,35,,32,,3,,0,,95,,40,,33,,6,,1,,2,,0,,0,,0,,13,,7,,7,,0,,0,,0,
20130630,S08000019,,Inpatient/Day case,Z9,d,2205,,1942,,263,,37,,37,,0,,0,,216,,134,,66,,12,,0,,4,,0,,0,,0,,0,,10,,10,,0,,0,,0,
20130930,S08000019,,Inpatient/Day case,Z9,d,2278,,2044,,234,,46,,43,,2,,1,,169,,74,,76,,15,,2,,1,,0,,0,,0,,1,,19,,19,,0,,0,,0,
20131231,S08000019,,Inpatient/Day case,Z9,d,2389,,2121,,268,,47,,45,,2,,0,,202,,43,,133,,22,,3,,1,,0,,0,,0,,0,,19,,18,,1,,0,,0,
20140331,S08000019,,Inpatient/Day case,Z9,d,2304,,2100,,204,,56,,56,,0,,0,,135,,52,,59,,18,,0,,6,,0,,0,,0,,0,,13,,12,,1,,0,,0,
20140630,S08000019,,Inpatient/Day case,Z9,d,2530,,2124,,406,,53,,53,,0,,0,,339,,151,,146,,37,,3,,2,,0,,0,,0,,0,,14,,14,,0,,0,,0,
20140930,S08000019,,Inpatient/Day case,Z9,d,2466,,2129,,337,,89,,89,,0,,0,,229,,84,,104,,34,,2,,5,,0,,0,,0,,0,,19,,12,,7,,0,,0,
20141231,S08000019,,Inpatient/Day case,Z9,d,2427,,2012,,415,,78,,78,,0,,0,,270,,61,,174,,35,,0,,0,,0,,0,,0,,0,,67,,59,,8,,0,,0,
20150331,S08000019,,Inpatient/Day case,Z9,d,2542,,2240,,302,,76,,76,,0,,0,,190,,51,,109,,25,,2,,2,,0,,0,,0,,1,,36,,28,,8,,0,,0,
20150630,S08000019,,Inpatient/Day case,Z9,d,2337,,1980,,357,,92,,92,,0,,0,,246,,117,,108,,19,,1,,0,,1,,0,,0,,0,,19,,14,,5,,0,,0,
20150930,S08000019,,Inpatient/Day case,Z9,d,2499,,2163,,336,,67,,67,,0,,0,,230,,93,,113,,24,,0,,0,,0,,0,,0,,0,,39,,30,,9,,0,,0,
20151231,S08000019,,Inpatient/Day case,Z9,d,2455,,2043,,412,,80,,80,,0,,0,,277,,65,,176,,32,,2,,2,,0,,0,,0,,0,,55,,47,,8,,0,,0,
20160331,S08000019,,Inpatient/Day case,Z9,d,2345,,2040,,305,,87,,87,,0,,0,,185,,47,,116,,17,,4,,1,,0,,0,,0,,0,,33,,26,,7,,0,,0,
20160630,S08000019,,Inpatient/Day case,Z9,d,2639,,2261,,378,,80,,80,,0,,0,,284,,131,,133,,16,,3,,1,,0,,0,,0,,0,,14,,14,,0,,0,,0,
20160930,S08000019,,Inpatient/Day case,Z9,d,2984,,2708,,276,,64,,64,,0,,0,,209,,85,,99,,24,,0,,1,,0,,0,,0,,0,,3,,3,,0,,0,,0,
20161231,S08000019,,Inpatient/Day case,Z9,d,3195,,2906,,289,,54,,54,,0,,0,,224,,56,,140,,26,,1,,1,,0,,0,,0,,0,,11,,11,,0,,0,,0,
20170331,S08000019,,Inpatient/Day case,Z9,d,3114,,2888,,226,,68,,68,,0,,0,,142,,42,,88,,10,,1,,1,,0,,0,,0,,0,,16,,15,,1,,0,,0,
