_id,QuarterEnding,HBT,HBTQF,PatientType,Specialty,SpecialtyQF,LessThan4WeekWait,LessThan4WeekWaitQF,4To8WeekWait,4To8WeekWaitQF,8To12WeekWait,8To12WeekWaitQF,12To16WeekWait,12To16WeekWaitQF,16To20WeekWait,16To20WeekWaitQF,20To24WeekWait,20To24WeekWaitQF,24To28WeekWait,24To28WeekWaitQF,28To32WeekWait,28To32WeekWaitQF,32To36WeekWait,32To36WeekWaitQF,36To40WeekWait,36To40WeekWaitQF,40To44WeekWait,40To44WeekWaitQF,44To48WeekWait,44To48WeekWaitQF,48To52WeekWait,48To52WeekWaitQF,52To65WeekWait,52To65WeekWaitQF,65To78WeekWait,65To78WeekWaitQF,78To91WeekWait,78To91WeekWaitQF,91To104WeekWait,91To104WeekWaitQF,Over104WeekWait,Over104WeekWaitQF
11,20140930,S08000015,,Inpatient/Day case,A1,,23,,3,,2,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
12,20150930,S08000015,,Inpatient/Day case,A1,,17,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
13,20160930,S08000015,,Inpatient/Day case,A1,,41,,2,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
14,20170930,S08000015,,Inpatient/Day case,A1,,97,,14,,4,,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
15,20180930,S08000015,,Inpatient/Day case,A1,,81,,11,,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
16,20190930,S08000015,,Inpatient/Day case,A1,,99,,7,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
17,20200930,S08000015,,Inpatient/Day case,A1,,68,,4,,2,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
18,20210930,S08000015,,Inpatient/Day case,A1,,57,,2,,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
19,20130331,S08000015,,Inpatient/Day case,A1,,57,,7,,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
20,20140331,S08000015,,Inpatient/Day case,A1,,18,,2,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
21,20150331,S08000015,,Inpatient/Day case,A1,,15,,3,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
22,20160331,S08000015,,Inpatient/Day case,A1,,32,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
23,20170331,S08000015,,Inpatient/Day case,A1,,60,,8,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
24,20180331,S08000015,,Inpatient/Day case,A1,,75,,9,,1,,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
25,20190331,S08000015,,Inpatient/Day case,A1,,81,,17,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
26,20200331,S08000015,,Inpatient/Day case,A1,,90,,19,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
27,20210331,S08000015,,Inpatient/Day case,A1,,59,,2,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
28,20220331,S08000015,,Inpatient/Day case,A1,,54,,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
29,20121231,S08000015,,Inpatient/Day case,A1,,79,,2,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
30,20131231,S08000015,,Inpatient/Day case,A1,,30,,12,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
31,20141231,S08000015,,Inpatient/Day case,A1,,21,,2,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
32,20151231,S08000015,,Inpatient/Day case,A1,,14,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
33,20161231,S08000015,,Inpatient/Day case,A1,,40,,6,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
34,20171231,S08000015,,Inpatient/Day case,A1,,103,,2,,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
35,20181231,S08000015,,Inpatient/Day case,A1,,80,,2,,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
36,20191231,S08000015,,Inpatient/Day case,A1,,101,,15,,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
37,20201231,S08000015,,Inpatient/Day case,A1,,77,,6,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
38,20211231,S08000015,,Inpatient/Day case,A1,,38,,0,,0,,0,,0,,0,,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
39,20210630,S08000015,,Inpatient/Day case,A11,,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u
40,20150930,S08000015,,Inpatient/Day case,A11,,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u
41,20160930,S08000015,,Inpatient/Day case,A11,,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u
42,20210930,S08000015,,Inpatient/Day case,A11,,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u
43,20210331,S08000015,,Inpatient/Day case,A11,,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u
44,20220331,S08000015,,Inpatient/Day case,A11,,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u
45,20171231,S08000015,,Inpatient/Day case,A11,,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u
46,20191231,S08000015,,Inpatient/Day case,A11,,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u
47,20201231,S08000015,,Inpatient/Day case,A11,,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u
48,20211231,S08000015,,Inpatient/Day case,A11,,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u
49,20130630,S08000015,,Inpatient/Day case,A2,,150,,13,,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
50,20140630,S08000015,,Inpatient/Day case,A2,,38,,19,,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
51,20150630,S08000015,,Inpatient/Day case,A2,,40,,26,,3,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
52,20160630,S08000015,,Inpatient/Day case,A2,,16,,22,,11,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
53,20170630,S08000015,,Inpatient/Day case,A2,,32,,31,,9,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
54,20180630,S08000015,,Inpatient/Day case,A2,,22,,46,,3,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
55,20190630,S08000015,,Inpatient/Day case,A2,,25,,42,,3,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
56,20200630,S08000015,,Inpatient/Day case,A2,,33,,10,,2,,4,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
57,20210630,S08000015,,Inpatient/Day case,A2,,26,,33,,7,,2,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
58,20130930,S08000015,,Inpatient/Day case,A2,,208,,29,,14,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
59,20140930,S08000015,,Inpatient/Day case,A2,,38,,21,,6,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
60,20150930,S08000015,,Inpatient/Day case,A2,,27,,16,,14,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
61,20160930,S08000015,,Inpatient/Day case,A2,,18,,28,,11,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
62,20170930,S08000015,,Inpatient/Day case,A2,,31,,33,,4,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
63,20180930,S08000015,,Inpatient/Day case,A2,,21,,33,,9,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
64,20190930,S08000015,,Inpatient/Day case,A2,,36,,38,,2,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
65,20200930,S08000015,,Inpatient/Day case,A2,,22,,13,,0,,0,,0,,1,,0,,2,,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,
66,20210930,S08000015,,Inpatient/Day case,A2,,26,,29,,16,,5,,0,,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
67,20130331,S08000015,,Inpatient/Day case,A2,,203,,9,,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
68,20140331,S08000015,,Inpatient/Day case,A2,,169,,28,,2,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
69,20150331,S08000015,,Inpatient/Day case,A2,,18,,23,,16,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
70,20160331,S08000015,,Inpatient/Day case,A2,,25,,24,,16,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
71,20170331,S08000015,,Inpatient/Day case,A2,,31,,25,,3,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
72,20180331,S08000015,,Inpatient/Day case,A2,,30,,25,,2,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
73,20190331,S08000015,,Inpatient/Day case,A2,,24,,37,,12,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
74,20200331,S08000015,,Inpatient/Day case,A2,,45,,35,,9,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
75,20210331,S08000015,,Inpatient/Day case,A2,,11,,38,,16,,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
76,20220331,S08000015,,Inpatient/Day case,A2,,24,,18,,15,,11,,5,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
77,20121231,S08000015,,Inpatient/Day case,A2,,151,,13,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
78,20131231,S08000015,,Inpatient/Day case,A2,,244,,22,,9,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
79,20141231,S08000015,,Inpatient/Day case,A2,,26,,22,,13,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
80,20151231,S08000015,,Inpatient/Day case,A2,,33,,21,,16,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
81,20161231,S08000015,,Inpatient/Day case,A2,,27,,24,,11,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
82,20171231,S08000015,,Inpatient/Day case,A2,,41,,22,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
83,20181231,S08000015,,Inpatient/Day case,A2,,30,,40,,11,,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
84,20191231,S08000015,,Inpatient/Day case,A2,,19,,37,,6,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
85,20201231,S08000015,,Inpatient/Day case,A2,,25,,32,,5,,1,,2,,0,,3,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
86,20211231,S08000015,,Inpatient/Day case,A2,,21,,22,,33,,3,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
87,20130630,S08000015,,Inpatient/Day case,A6,,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
88,20140630,S08000015,,Inpatient/Day case,A6,,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
89,20190630,S08000015,,Inpatient/Day case,A6,,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
90,20130331,S08000015,,Inpatient/Day case,A6,,4,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
91,20140331,S08000015,,Inpatient/Day case,A6,,1,,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
92,20121231,S08000015,,Inpatient/Day case,A6,,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
93,20131231,S08000015,,Inpatient/Day case,A6,,5,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
94,20141231,S08000015,,Inpatient/Day case,A6,,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
95,20171231,S08000015,,Inpatient/Day case,A6,,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
96,20130630,S08000015,,Inpatient/Day case,A7,,8,,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
97,20140630,S08000015,,Inpatient/Day case,A7,,5,,2,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
98,20150630,S08000015,,Inpatient/Day case,A7,,2,,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
99,20160630,S08000015,,Inpatient/Day case,A7,,5,,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
100,20170630,S08000015,,Inpatient/Day case,A7,,5,,0,,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
101,20180630,S08000015,,Inpatient/Day case,A7,,7,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
102,20190630,S08000015,,Inpatient/Day case,A7,,3,,0,,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
103,20130930,S08000015,,Inpatient/Day case,A7,,8,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
104,20140930,S08000015,,Inpatient/Day case,A7,,9,,2,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
105,20150930,S08000015,,Inpatient/Day case,A7,,4,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
106,20160930,S08000015,,Inpatient/Day case,A7,,6,,1,,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
107,20170930,S08000015,,Inpatient/Day case,A7,,3,,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
108,20180930,S08000015,,Inpatient/Day case,A7,,5,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
109,20190930,S08000015,,Inpatient/Day case,A7,,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
110,20210930,S08000015,,Inpatient/Day case,A7,,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
111,20130331,S08000015,,Inpatient/Day case,A7,,9,,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
112,20140331,S08000015,,Inpatient/Day case,A7,,10,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
113,20150331,S08000015,,Inpatient/Day case,A7,,0,,1,,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
114,20160331,S08000015,,Inpatient/Day case,A7,,2,,2,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
115,20170331,S08000015,,Inpatient/Day case,A7,,1,,0,,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
116,20190331,S08000015,,Inpatient/Day case,A7,,2,,0,,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
117,20121231,S08000015,,Inpatient/Day case,A7,,8,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
118,20131231,S08000015,,Inpatient/Day case,A7,,5,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
119,20141231,S08000015,,Inpatient/Day case,A7,,3,,2,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
120,20151231,S08000015,,Inpatient/Day case,A7,,2,,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
121,20161231,S08000015,,Inpatient/Day case,A7,,2,,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
122,20171231,S08000015,,Inpatient/Day case,A7,,4,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
123,20181231,S08000015,,Inpatient/Day case,A7,,2,,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
124,20191231,S08000015,,Inpatient/Day case,A7,,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
125,20130630,S08000015,,Inpatient/Day case,A8,,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u
126,20140630,S08000015,,Inpatient/Day case,A8,,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u
127,20150630,S08000015,,Inpatient/Day case,A8,,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u
128,20160630,S08000015,,Inpatient/Day case,A8,,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u
129,20170630,S08000015,,Inpatient/Day case,A8,,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u
130,20130930,S08000015,,Inpatient/Day case,A8,,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u
131,20140930,S08000015,,Inpatient/Day case,A8,,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u
132,20150930,S08000015,,Inpatient/Day case,A8,,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u
133,20160930,S08000015,,Inpatient/Day case,A8,,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u
134,20130331,S08000015,,Inpatient/Day case,A8,,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u
135,20140331,S08000015,,Inpatient/Day case,A8,,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u
136,20150331,S08000015,,Inpatient/Day case,A8,,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u
137,20160331,S08000015,,Inpatient/Day case,A8,,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u
138,20170331,S08000015,,Inpatient/Day case,A8,,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u
139,20121231,S08000015,,Inpatient/Day case,A8,,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u
140,20131231,S08000015,,Inpatient/Day case,A8,,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u
141,20141231,S08000015,,Inpatient/Day case,A8,,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u
142,20151231,S08000015,,Inpatient/Day case,A8,,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u
143,20161231,S08000015,,Inpatient/Day case,A8,,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u
144,20191231,S08000015,,Inpatient/Day case,A8,,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u
145,20130630,S08000015,,Inpatient/Day case,A9,,24,,2,,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
146,20140630,S08000015,,Inpatient/Day case,A9,,14,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
147,20150630,S08000015,,Inpatient/Day case,A9,,23,,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
148,20160630,S08000015,,Inpatient/Day case,A9,,9,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
149,20170630,S08000015,,Inpatient/Day case,A9,,7,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
150,20180630,S08000015,,Inpatient/Day case,A9,,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
151,20200630,S08000015,,Inpatient/Day case,A9,,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
152,20130930,S08000015,,Inpatient/Day case,A9,,32,,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
153,20140930,S08000015,,Inpatient/Day case,A9,,11,,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
154,20150930,S08000015,,Inpatient/Day case,A9,,31,,2,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
155,20160930,S08000015,,Inpatient/Day case,A9,,17,,2,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
156,20170930,S08000015,,Inpatient/Day case,A9,,3,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
157,20130331,S08000015,,Inpatient/Day case,A9,,24,,4,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
