"QuarterEnding","HBT","HBTQF","PatientType","Specialty","SpecialtyQF","Additions","AdditionsQF","Removals","RemovalsQF","Attended","AttendedQF","ReferredBackToGP","ReferredBackToGPQF","Transferred","TransferredQF","TreatmentNoLongerRequired","TreatmentNoLongerRequiredQF","OtherReasons","OtherReasonsQF"
"20180331","SB0801",,"New Outpatient","Z9","d",719,,681,,578,,10,,27,,12,,54,
"20190331","SB0801",,"New Outpatient","Z9","d",752,,755,,647,,26,,5,,16,,61,
"20200331","SB0801",,"New Outpatient","Z9","d",710,,666,,543,,3,,20,,14,,86,
"20210331","SB0801",,"New Outpatient","Z9","d",656,,667,,557,,23,,6,,23,,58,
"20220331","SB0801",,"New Outpatient","Z9","d",749,,687,,566,,22,,18,,40,,41,
"20121231","SB0801",,"New Outpatient","Z9","d",597,,579,,517,,5,,2,,4,,51,
"20131231","SB0801",,"New Outpatient","Z9","d",575,,594,,462,,6,,1,,3,,122,
"20141231","SB0801",,"New Outpatient","Z9","d",789,,799,,544,,8,,75,,6,,166,
"20151231","SB0801",,"New Outpatient","Z9","d",694,,640,,556,,8,,9,,14,,53,
"20161231","SB0801",,"New Outpatient","Z9","d",541,,557,,488,,9,,8,,14,,38,
"20171231","SB0801",,"New Outpatient","Z9","d",685,,706,,602,,5,,22,,13,,64,
"20181231","SB0801",,"New Outpatient","Z9","d",663,,654,,526,,29,,12,,19,,68,
"20191231","SB0801",,"New Outpatient","Z9","d",705,,730,,622,,3,,15,,15,,75,
"20201231","SB0801",,"New Outpatient","Z9","d",675,,699,,574,,16,,10,,29,,70,
"20211231","SB0801",,"New Outpatient","Z9","d",710,,692,,569,,37,,9,,28,,49,
"20130630","S08000015",,"New Outpatient","Z9","d",31641,,30085,,25389,,1834,,70,,1147,,1645,
"20140630","S08000015",,"New Outpatient","Z9","d",33373,,31829,,27081,,1860,,112,,1197,,1579,
"20150630","S08000015",,"New Outpatient","Z9","d",32724,,30705,,25946,,1664,,45,,1139,,1911,
"20160630","S08000015",,"New Outpatient","Z9","d",33754,,32054,,26962,,1805,,46,,1238,,2003,
"20170630","S08000015",,"New Outpatient","Z9","d",33034,,33426,,28171,,1793,,46,,1362,,2054,
"20180630","S08000015",,"New Outpatient","Z9","d",33843,,31543,,26217,,1580,,127,,1386,,2233,
"20190630","S08000015",,"New Outpatient","Z9","d",33974,,34614,,28806,,1794,,133,,1464,,2417,
"20200630","S08000015",,"New Outpatient","Z9","d",12413,,10113,,8412,,248,,32,,304,,1117,
"20210630","S08000015",,"New Outpatient","Z9","d",28631,,26298,,21467,,973,,66,,964,,2828,
"20130930","S08000015",,"New Outpatient","Z9","d",31491,,31332,,26614,,1860,,55,,1139,,1664,
"20140930","S08000015",,"New Outpatient","Z9","d",32757,,32850,,27622,,1965,,100,,1192,,1971,
"20150930","S08000015",,"New Outpatient","Z9","d",32913,,31358,,26558,,1750,,24,,1235,,1791,
"20160930","S08000015",,"New Outpatient","Z9","d",31893,,31624,,26645,,1842,,23,,1195,,1919,
"20170930","S08000015",,"New Outpatient","Z9","d",31665,,31910,,27068,,1718,,54,,1374,,1696,
"20180930","S08000015",,"New Outpatient","Z9","d",32518,,31631,,26539,,1724,,158,,1298,,1912,
"20190930","S08000015",,"New Outpatient","Z9","d",32982,,33412,,27662,,1611,,139,,1384,,2616,
"20200930","S08000015",,"New Outpatient","Z9","d",22753,,16271,,13252,,542,,48,,455,,1974,
"20210930","S08000015",,"New Outpatient","Z9","d",27506,,25951,,21074,,1182,,165,,860,,2670,
"20130331","S08000015",,"New Outpatient","Z9","d",30491,,30316,,26015,,1543,,34,,1057,,1667,
"20140331","S08000015",,"New Outpatient","Z9","d",33335,,32024,,27545,,1730,,70,,1173,,1506,
"20150331","S08000015",,"New Outpatient","Z9","d",32288,,33155,,28189,,1857,,43,,1329,,1737,
"20160331","S08000015",,"New Outpatient","Z9","d",31732,,30860,,26157,,1748,,63,,1218,,1674,
"20170331","S08000015",,"New Outpatient","Z9","d",34442,,34898,,29708,,1738,,21,,1375,,2056,
"20180331","S08000015",,"New Outpatient","Z9","d",32164,,32541,,27139,,1702,,112,,1450,,2138,
"20190331","S08000015",,"New Outpatient","Z9","d",33941,,33278,,27990,,1675,,125,,1521,,1967,
"20200331","S08000015",,"New Outpatient","Z9","d",28835,,29820,,24633,,1350,,126,,1107,,2604,
"20210331","S08000015",,"New Outpatient","Z9","d",23794,,21356,,17077,,640,,247,,779,,2613,
"20220331","S08000015",,"New Outpatient","Z9","d",28794,,26603,,21218,,944,,223,,940,,3278,
"20121231","S08000015",,"New Outpatient","Z9","d",30139,,30746,,26276,,1654,,65,,1033,,1718,
"20131231","S08000015",,"New Outpatient","Z9","d",31970,,32116,,27636,,1809,,75,,1135,,1461,
"20141231","S08000015",,"New Outpatient","Z9","d",31641,,30710,,25752,,1937,,41,,991,,1989,
"20151231","S08000015",,"New Outpatient","Z9","d",31673,,34157,,29008,,1958,,68,,1266,,1857,
"20161231","S08000015",,"New Outpatient","Z9","d",30780,,31659,,26828,,1687,,49,,1341,,1754,
"20171231","S08000015",,"New Outpatient","Z9","d",31477,,32799,,27708,,1874,,111,,1464,,1642,
"20181231","S08000015",,"New Outpatient","Z9","d",33079,,32911,,27475,,1705,,125,,1297,,2309,
"20191231","S08000015",,"New Outpatient","Z9","d",31470,,34854,,28992,,1773,,129,,1270,,2690,
"20201231","S08000015",,"New Outpatient","Z9","d",23502,,19918,,16203,,705,,127,,706,,2177,
"20211231","S08000015",,"New Outpatient","Z9","d",27215,,28125,,23135,,1453,,53,,998,,2486,
"20130630","S08000016",,"New Outpatient","Z9","d",8655,,7735,,6866,,538,,17,,79,,235,
"20140630","S08000016",,"New Outpatient","Z9","d",8314,,8070,,7385,,308,,138,,82,,157,
"20150630","S08000016",,"New Outpatient","Z9","d",8656,,8276,,7412,,379,,16,,309,,160,
"20160630","S08000016",,"New Outpatient","Z9","d",8787,,8488,,7686,,338,,6,,281,,177,
"20170630","S08000016",,"New Outpatient","Z9","d",8362,,8264,,7422,,351,,14,,273,,204,
"20180630","S08000016",,"New Outpatient","Z9","d",9134,,9413,,8466,,422,,11,,278,,236,
"20190630","S08000016",,"New Outpatient","Z9","d",9508,,8044,,7176,,386,,8,,287,,187,
"20200630","S08000016",,"New Outpatient","Z9","d",2942,,2951,,2357,,270,,0,,74,,250,
"20210630","S08000016",,"New Outpatient","Z9","d",7587,,5857,,4905,,311,,13,,194,,434,
"20130930","S08000016",,"New Outpatient","Z9","d",8346,,8615,,7649,,598,,36,,89,,243,
"20140930","S08000016",,"New Outpatient","Z9","d",8002,,7495,,6960,,294,,28,,73,,140,
"20150930","S08000016",,"New Outpatient","Z9","d",8583,,8776,,7910,,396,,13,,313,,144,
"20160930","S08000016",,"New Outpatient","Z9","d",8589,,8387,,7647,,317,,7,,263,,153,
"20170930","S08000016",,"New Outpatient","Z9","d",8484,,8182,,7268,,388,,23,,313,,190,
"20180930","S08000016",,"New Outpatient","Z9","d",8807,,8120,,7111,,445,,25,,316,,223,
"20190930","S08000016",,"New Outpatient","Z9","d",8693,,9749,,8642,,509,,24,,376,,198,
"20200930","S08000016",,"New Outpatient","Z9","d",6098,,4473,,3829,,194,,8,,112,,330,
"20210930","S08000016",,"New Outpatient","Z9","d",7250,,6245,,5249,,288,,17,,225,,466,
"20130331","S08000016",,"New Outpatient","Z9","d",7592,,7333,,6420,,563,,85,,69,,196,
"20140331","S08000016",,"New Outpatient","Z9","d",7836,,8127,,7178,,647,,94,,73,,135,
"20150331","S08000016",,"New Outpatient","Z9","d",8066,,8402,,7667,,320,,4,,276,,135,
"20160331","S08000016",,"New Outpatient","Z9","d",8359,,8854,,8000,,330,,10,,333,,181,
"20170331","S08000016",,"New Outpatient","Z9","d",8559,,8047,,7171,,347,,17,,315,,197,
"20180331","S08000016",,"New Outpatient","Z9","d",8439,,9038,,8023,,419,,19,,337,,240,
"20190331","S08000016",,"New Outpatient","Z9","d",9151,,9778,,8759,,430,,21,,356,,212,
"20200331","S08000016",,"New Outpatient","Z9","d",6885,,7377,,6577,,326,,9,,274,,191,
"20210331","S08000016",,"New Outpatient","Z9","d",5829,,5202,,4441,,278,,5,,213,,265,
"20220331","S08000016",,"New Outpatient","Z9","d",7568,,8193,,6802,,385,,9,,405,,592,
"20121231","S08000016",,"New Outpatient","Z9","d",7605,,7596,,6684,,510,,126,,61,,215,
"20131231","S08000016",,"New Outpatient","Z9","d",7956,,8479,,7432,,682,,40,,151,,174,
"20141231","S08000016",,"New Outpatient","Z9","d",8113,,7947,,7325,,347,,3,,93,,179,
"20151231","S08000016",,"New Outpatient","Z9","d",8260,,8133,,7376,,350,,12,,270,,125,
"20161231","S08000016",,"New Outpatient","Z9","d",7880,,7838,,7087,,285,,18,,258,,190,
"20171231","S08000016",,"New Outpatient","Z9","d",8216,,8708,,7784,,344,,18,,347,,215,
"20181231","S08000016",,"New Outpatient","Z9","d",9080,,8876,,7936,,419,,21,,304,,196,
"20191231","S08000016",,"New Outpatient","Z9","d",7848,,9035,,8113,,424,,10,,294,,194,
"20201231","S08000016",,"New Outpatient","Z9","d",5970,,5068,,4339,,218,,12,,162,,337,
"20211231","S08000016",,"New Outpatient","Z9","d",7567,,6835,,5734,,383,,9,,291,,418,
"20130630","S08000017",,"New Outpatient","Z9","d",10961,,10481,,8773,,564,,19,,1108,,17,
"20140630","S08000017",,"New Outpatient","Z9","d",11758,,10860,,9074,,489,,18,,1262,,17,
"20150630","S08000017",,"New Outpatient","Z9","d",12101,,11128,,9150,,558,,12,,1378,,30,
"20160630","S08000017",,"New Outpatient","Z9","d",12261,,12323,,9878,,601,,9,,1791,,44,
"20170630","S08000017",,"New Outpatient","Z9","d",11711,,10646,,8342,,519,,11,,1737,,37,
"20180630","S08000017",,"New Outpatient","Z9","d",12647,,12486,,9357,,574,,19,,2508,,28,
"20190630","S08000017",,"New Outpatient","Z9","d",12834,,12129,,8849,,592,,19,,2642,,27,
"20200630","S08000017",,"New Outpatient","Z9","d",5628,,5528,,2679,,146,,11,,2671,,21,
"20210630","S08000017",,"New Outpatient","Z9","d",13659,,12796,,8274,,584,,36,,3866,,36,
"20130930","S08000017",,"New Outpatient","Z9","d",10682,,10786,,9089,,585,,9,,1088,,15,
"20140930","S08000017",,"New Outpatient","Z9","d",11449,,11548,,9596,,587,,26,,1319,,20,
"20150930","S08000017",,"New Outpatient","Z9","d",11627,,12332,,10084,,692,,26,,1501,,29,
"20160930","S08000017",,"New Outpatient","Z9","d",11633,,11995,,9462,,617,,15,,1829,,72,
"20170930","S08000017",,"New Outpatient","Z9","d",11465,,11626,,9164,,599,,15,,1826,,22,
"20180930","S08000017",,"New Outpatient","Z9","d",11686,,11760,,8825,,594,,23,,2293,,25,
"20190930","S08000017",,"New Outpatient","Z9","d",12407,,12363,,9046,,629,,22,,2635,,31,
"20200930","S08000017",,"New Outpatient","Z9","d",10562,,8888,,5129,,346,,29,,3349,,35,
"20210930","S08000017",,"New Outpatient","Z9","d",12949,,13371,,8414,,663,,23,,4210,,61,
"20130331","S08000017",,"New Outpatient","Z9","d",10343,,10217,,8728,,558,,22,,893,,16,
"20140331","S08000017",,"New Outpatient","Z9","d",10965,,11313,,9526,,576,,13,,1171,,27,
"20150331","S08000017",,"New Outpatient","Z9","d",11219,,10767,,8860,,532,,17,,1331,,27,
"20160331","S08000017",,"New Outpatient","Z9","d",11853,,11360,,9201,,564,,9,,1552,,34,
"20170331","S08000017",,"New Outpatient","Z9","d",11839,,11346,,8930,,549,,12,,1817,,38,
"20180331","S08000017",,"New Outpatient","Z9","d",11646,,12020,,8925,,702,,12,,2342,,39,
"20190331","S08000017",,"New Outpatient","Z9","d",11964,,12131,,9058,,547,,32,,2462,,32,
"20200331","S08000017",,"New Outpatient","Z9","d",11460,,12306,,8539,,630,,24,,3076,,37,
"20210331","S08000017",,"New Outpatient","Z9","d",10349,,9414,,5555,,373,,19,,3417,,50,
"20220331","S08000017",,"New Outpatient","Z9","d",12972,,12383,,7631,,478,,16,,4203,,55,
"20121231","S08000017",,"New Outpatient","Z9","d",10108,,10129,,8615,,543,,48,,910,,13,
"20131231","S08000017",,"New Outpatient","Z9","d",10724,,10372,,8633,,539,,13,,1175,,12,
"20141231","S08000017",,"New Outpatient","Z9","d",10912,,11160,,9203,,570,,19,,1355,,13,
"20151231","S08000017",,"New Outpatient","Z9","d",11366,,11694,,9563,,630,,10,,1455,,36,
"20161231","S08000017",,"New Outpatient","Z9","d",11024,,11805,,9312,,588,,16,,1835,,54,
"20171231","S08000017",,"New Outpatient","Z9","d",10928,,11127,,8467,,654,,12,,1955,,39,
"20181231","S08000017",,"New Outpatient","Z9","d",11734,,11996,,8909,,562,,30,,2467,,28,
"20191231","S08000017",,"New Outpatient","Z9","d",12550,,12534,,9203,,635,,16,,2656,,24,
"20201231","S08000017",,"New Outpatient","Z9","d",10863,,10484,,6507,,550,,33,,3358,,36,
"20211231","S08000017",,"New Outpatient","Z9","d",12546,,11704,,7272,,500,,23,,3863,,46,
"20130630","S08000029",,"New Outpatient","Z9","d",25843,,25277,,21695,,1419,,1018,,741,,404,
"20140630","S08000029",,"New Outpatient","Z9","d",24546,,23989,,20541,,1749,,500,,721,,478,
"20150630","S08000029",,"New Outpatient","Z9","d",25683,,25385,,21716,,1780,,430,,934,,525,
"20160630","S08000029",,"New Outpatient","Z9","d",25909,,25205,,22280,,1414,,198,,831,,482,
"20170630","S08000029",,"New Outpatient","Z9","d",26278,,22375,,19384,,971,,121,,699,,1200,
"20180630","S08000029",,"New Outpatient","Z9","d",27847,,27383,,23666,,1255,,296,,923,,1243,
"20190630","S08000029",,"New Outpatient","Z9","d",27914,,26695,,22980,,1256,,270,,855,,1334,
"20200630","S08000029",,"New Outpatient","Z9","d",8388,,7842,,6320,,241,,157,,338,,786,
"20210630","S08000029",,"New Outpatient","Z9","d",24227,,22710,,18666,,1174,,230,,869,,1771,
"20130930","S08000029",,"New Outpatient","Z9","d",25778,,25397,,21586,,1632,,980,,811,,388,
"20140930","S08000029",,"New Outpatient","Z9","d",25251,,24063,,20552,,1632,,475,,886,,518,
"20150930","S08000029",,"New Outpatient","Z9","d",24553,,25728,,22126,,1867,,303,,937,,495,
"20160930","S08000029",,"New Outpatient","Z9","d",22959,,23816,,21030,,1336,,186,,752,,512,
"20170930","S08000029",,"New Outpatient","Z9","d",27005,,27026,,23122,,1665,,209,,847,,1183,
"20180930","S08000029",,"New Outpatient","Z9","d",26629,,27322,,23335,,1256,,337,,910,,1484,
"20190930","S08000029",,"New Outpatient","Z9","d",27806,,27570,,23624,,1291,,216,,955,,1484,
"20200930","S08000029",,"New Outpatient","Z9","d",17628,,13903,,11235,,695,,238,,522,,1213,
"20210930","S08000029",,"New Outpatient","Z9","d",24413,,23655,,19632,,1116,,283,,877,,1747,
"20130331","S08000029",,"New Outpatient","Z9","d",24293,,24156,,20612,,1451,,973,,789,,331,
"20140331","S08000029",,"New Outpatient","Z9","d",24390,,23034,,19819,,1510,,589,,681,,435,
"20150331","S08000029",,"New Outpatient","Z9","d",25487,,25579,,21792,,1829,,562,,934,,462,
"20160331","S08000029",,"New Outpatient","Z9","d",24448,,24445,,21648,,1290,,189,,893,,425,
"20170331","S08000029",,"New Outpatient","Z9","d",22029,,21838,,19311,,1232,,175,,619,,501,
"20180331","S08000029",,"New Outpatient","Z9","d",26160,,26143,,22723,,1277,,174,,890,,1079,
"20190331","S08000029",,"New Outpatient","Z9","d",26579,,26899,,23497,,1230,,251,,907,,1014,
"20200331","S08000029",,"New Outpatient","Z9","d",22317,,24123,,20671,,1097,,173,,852,,1330,
"20210331","S08000029",,"New Outpatient","Z9","d",19240,,16722,,13514,,718,,349,,768,,1373,
"20220331","S08000029",,"New Outpatient","Z9","d",23064,,22326,,18443,,1170,,341,,796,,1576,
"20121231","S08000029",,"New Outpatient","Z9","d",24330,,25035,,20876,,1578,,1474,,738,,369,
"20131231","S08000029",,"New Outpatient","Z9","d",24390,,25009,,21446,,1631,,667,,764,,501,
"20141231","S08000029",,"New Outpatient","Z9","d",25043,,25056,,21408,,1784,,500,,845,,519,
"20151231","S08000029",,"New Outpatient","Z9","d",23565,,25708,,22375,,1588,,395,,944,,406,
"20161231","S08000029",,"New Outpatient","Z9","d",21016,,21589,,19223,,1151,,133,,629,,453,
"20171231","S08000029",,"New Outpatient","Z9","d",25975,,26994,,23070,,1525,,180,,876,,1343,
"20181231","S08000029",,"New Outpatient","Z9","d",25571,,26118,,22735,,1244,,281,,861,,997,
"20191231","S08000029",,"New Outpatient","Z9","d",24033,,25672,,22088,,1273,,198,,810,,1303,
"20201231","S08000029",,"New Outpatient","Z9","d",19527,,18549,,15014,,1046,,191,,741,,1557,
"20211231","S08000029",,"New Outpatient","Z9","d",21915,,22900,,18952,,1198,,361,,795,,1594,
"20130630","S08000019",,"New Outpatient","Z9","d",22269,,21552,,16961,,1633,,478,,2197,,283,
"20140630","S08000019",,"New Outpatient","Z9","d",22788,,23118,,17884,,1844,,845,,2247,,298,
"20150630","S08000019",,"New Outpatient","Z9","d",23295,,22463,,17885,,1819,,473,,2000,,286,
"20160630","S08000019",,"New Outpatient","Z9","d",23485,,21093,,16380,,1686,,471,,2351,,205,
"20170630","S08000019",,"New Outpatient","Z9","d",23521,,23096,,17982,,1693,,479,,2714,,228,
"20180630","S08000019",,"New Outpatient","Z9","d",23506,,22907,,17912,,1728,,526,,2565,,176,
"20190630","S08000019",,"New Outpatient","Z9","d",22969,,20817,,17428,,461,,98,,1260,,1570,
"20200630","S08000019",,"New Outpatient","Z9","d",7815,,7847,,6513,,2,,0,,267,,1065,
"20210630","S08000019",,"New Outpatient","Z9","d",19748,,17679,,14986,,3,,5,,708,,1977,
"20130930","S08000019",,"New Outpatient","Z9","d",21888,,21866,,16897,,1793,,523,,2277,,376,
"20140930","S08000019",,"New Outpatient","Z9","d",22331,,22758,,18070,,1756,,503,,2167,,262,
"20150930","S08000019",,"New Outpatient","Z9","d",23516,,23159,,18305,,1809,,539,,2222,,284,
"20160930","S08000019",,"New Outpatient","Z9","d",22068,,22297,,17141,,1705,,430,,2789,,232,
"20170930","S08000019",,"New Outpatient","Z9","d",23219,,23238,,18013,,1852,,508,,2656,,209,
"20180930","S08000019",,"New Outpatient","Z9","d",23220,,21692,,16489,,1602,,511,,2925,,165,
"20190930","S08000019",,"New Outpatient","Z9","d",22620,,21368,,17889,,11,,3,,847,,2618,
"20200930","S08000019",,"New Outpatient","Z9","d",14941,,11931,,10211,,3,,1,,400,,1316,
"20210930","S08000019",,"New Outpatient","Z9","d",20071,,18907,,16285,,3,,4,,528,,2087,
"20130331","S08000019",,"New Outpatient","Z9","d",20830,,19987,,15732,,1608,,486,,1909,,252,
"20140331","S08000019",,"New Outpatient","Z9","d",22382,,23232,,18441,,2015,,753,,1814,,209,
"20150331","S08000019",,"New Outpatient","Z9","d",22158,,22365,,17599,,1744,,462,,2248,,312,
"20160331","S08000019",,"New Outpatient","Z9","d",21417,,21300,,16942,,1652,,416,,2077,,213,
"20170331","S08000019",,"New Outpatient","Z9","d",22975,,23861,,18824,,1947,,383,,2506,,201,
"20180331","S08000019",,"New Outpatient","Z9","d",22046,,22203,,17402,,1738,,474,,2394,,195,
"20190331","S08000019",,"New Outpatient","Z9","d",23393,,25439,,20216,,1795,,492,,2724,,212,
"20200331","S08000019",,"New Outpatient","Z9","d",18317,,19907,,16961,,4,,2,,721,,2219,
"20210331","S08000019",,"New Outpatient","Z9","d",15288,,15683,,13386,,1,,2,,624,,1670,
"20220331","S08000019",,"New Outpatient","Z9","d",19071,,20164,,17664,,3,,2,,662,,1833,
"20121231","S08000019",,"New Outpatient","Z9","d",20483,,20748,,16354,,1685,,436,,2082,,191,
"20131231","S08000019",,"New Outpatient","Z9","d",21436,,22831,,17848,,1942,,855,,1992,,194,
"20141231","S08000019",,"New Outpatient","Z9","d",22117,,21400,,16701,,1695,,535,,2140,,329,
"20151231","S08000019",,"New Outpatient","Z9","d",21653,,21347,,16844,,1749,,407,,2043,,304,
"20161231","S08000019",,"New Outpatient","Z9","d",20940,,21536,,16499,,1818,,437,,2578,,204,
"20171231","S08000019",,"New Outpatient","Z9","d",21828,,22691,,17604,,1728,,489,,2682,,188,
"20181231","S08000019",,"New Outpatient","Z9","d",22827,,24270,,19030,,1732,,566,,2786,,156,
"20191231","S08000019",,"New Outpatient","Z9","d",20170,,22149,,18918,,9,,2,,752,,2468,
"20201231","S08000019",,"New Outpatient","Z9","d",15950,,14948,,12646,,1,,11,,753,,1537,
"20211231","S08000019",,"New Outpatient","Z9","d",18942,,19948,,17119,,5,,4,,724,,2096,
"20130630","S08000020",,"New Outpatient","Z9","d",38116,,36556,,29854,,1582,,382,,2709,,2029,
"20140630","S08000020",,"New Outpatient","Z9","d",37535,,36329,,29373,,2511,,323,,2442,,1680,
"20150630","S08000020",,"New Outpatient","Z9","d",41877,,40606,,30585,,2772,,479,,3198,,3572,
"20160630","S08000020",,"New Outpatient","Z9","d",43377,,39870,,30090,,2699,,421,,2791,,3869,
"20170630","S08000020",,"New Outpatient","Z9","d",41273,,36742,,27071,,2514,,441,,2710,,4006,
"20180630","S08000020",,"New Outpatient","Z9","d",43142,,41394,,30006,,2289,,258,,4132,,4709,
"20190630","S08000020",,"New Outpatient","Z9","d",47533,,47760,,31134,,10505,,186,,3807,,2128,
