"QuarterEnding","HBT","HBTQF","PatientType","Specialty","SpecialtyQF","NumberWaiting","NumberWaitingQF","Available","AvailableQF","Unavailable","UnavailableQF","MedicalTotal","MedicalTotalQF","MedicalOtherMedicalCondition","MedicalOtherMedicalConditionQF","MedicalIndefinitelyUnavailable","MedicalIndefinitelyUnavailableQF","MedicalOther","MedicalOtherQF","PatientAdvisedTotal","PatientAdvisedTotalQF","PatientAdvisedHoliday","PatientAdvisedHolidayQF","PatientAdvisedPersonalCommitment","PatientAdvisedPersonalCommitmentQF","PatientAdvisedWorkCommitment","PatientAdvisedWorkCommitmentQF","PatientAdvisedCarerCommitment","PatientAdvisedCarerCommitmentQF","PatientAdvisedAcademicCommitment","PatientAdvisedAcademicCommitmentQF","PatientAdvisedJuryDuty","PatientAdvisedJuryDutyQF","PatientAdvisedWeather","PatientAdvisedWeatherQF","PatientAdvisedIndefinitelyUnavailable","PatientAdvisedIndefinitelyUnavailableQF","PatientAdvisedOther","PatientAdvisedOtherQF","PatientRequestedTotal","PatientRequestedTotalQF","PatientRequestedNamedConsultant","PatientRequestedNamedConsultantQF","PatientRequestedTreatedLocalHealthBoard","PatientRequestedTreatedLocalHealthBoardQF","SuspensionExceptionalCircumstances","SuspensionExceptionalCircumstancesQF","PFBUnavailability","PFBUnavailabilityQF"
"20150630","S92000003","d","New Outpatient","Z9","d",277932,,268582,,9350,,819,,801,,18,,0,,4743,,2921,,1026,,556,,51,,32,,2,,0,,28,,127,,2636,,520,,2116,,0,,1152,
"20150930","S92000003","d","New Outpatient","Z9","d",283348,,274135,,9213,,808,,806,,2,,0,,4067,,2201,,1105,,551,,49,,44,,2,,0,,24,,91,,3266,,526,,2740,,0,,1072,
"20151231","S92000003","d","New Outpatient","Z9","d",265714,,256054,,9660,,828,,827,,1,,0,,4460,,1739,,1725,,625,,49,,25,,4,,2,,48,,243,,3111,,623,,2488,,0,,1261,
"20160331","S92000003","d","New Outpatient","Z9","d",266053,,259230,,6823,,719,,715,,4,,0,,2970,,1222,,1017,,455,,36,,32,,1,,3,,29,,175,,2195,,399,,1796,,0,,939,
"20160630","S92000003","d","New Outpatient","Z9","d",296709,,286477,,10232,,715,,712,,3,,0,,4869,,2978,,1209,,504,,44,,25,,1,,1,,33,,74,,3778,,587,,3191,,0,,870,
"20160930","S92000003","d","New Outpatient","Z9","d",309572,,303346,,6226,,737,,735,,2,,0,,3885,,2171,,1112,,467,,46,,35,,3,,14,,20,,17,,950,,512,,438,,0,,654,
"20161231","S92000003","d","New Outpatient","Z9","d",300413,,293529,,6884,,764,,761,,3,,0,,3806,,1690,,1488,,524,,29,,26,,1,,0,,37,,11,,778,,216,,562,,0,,1536,
"20170331","S92000003","d","New Outpatient","Z9","d",296102,,290574,,5528,,625,,625,,0,,0,,2943,,1351,,1097,,418,,34,,23,,4,,4,,10,,2,,860,,190,,670,,0,,1100,
"20170630","S92000003","d","New Outpatient","Z9","d",,":",,":",,":",,":",,":",,":",,":",,":",,":",,":",,":",,":",,":",,":",,":",,":",,":",,":",,":",,":",,":",,":"
"20170930","S92000003","d","New Outpatient","Z9","d",,":",,":",,":",,":",,":",,":",,":",,":",,":",,":",,":",,":",,":",,":",,":",,":",,":",,":",,":",,":",,":",,":"
"20171231","S92000003","d","New Outpatient","Z9","d",,":",,":",,":",,":",,":",,":",,":",,":",,":",,":",,":",,":",,":",,":",,":",,":",,":",,":",,":",,":",,":",,":"
"20180331","S92000003","d","New Outpatient","Z9","d",,":",,":",,":",,":",,":",,":",,":",,":",,":",,":",,":",,":",,":",,":",,":",,":",,":",,":",,":",,":",,":",,":"
"20180630","S92000003","d","New Outpatient","Z9","d",,":",,":",,":",,":",,":",,":",,":",,":",,":",,":",,":",,":",,":",,":",,":",,":",,":",,":",,":",,":",,":",,":"
"20180930","S92000003","d","New Outpatient","Z9","d",,":",,":",,":",,":",,":",,":",,":",,":",,":",,":",,":",,":",,":",,":",,":",,":",,":",,":",,":",,":",,":",,":"
"20181231","S92000003","d","New Outpatient","Z9","d",,":",,":",,":",,":",,":",,":",,":",,":",,":",,":",,":",,":",,":",,":",,":",,":",,":",,":",,":",,":",,":",,":"
"20190331","S92000003","d","New Outpatient","Z9","d",310653,,305008,,5645,,717,,717,,0,,0,,3158,,1443,,1269,,376,,27,,36,,3,,2,,0,,2,,192,,41,,151,,0,,1578,
"20190630","S92000003","d","New Outpatient","Z9","d",322797,,315196,,7601,,786,,786,,0,,0,,4614,,3023,,1138,,403,,21,,26,,1,,0,,0,,2,,213,,50,,163,,0,,1988,
"20190930","S92000003","d","New Outpatient","Z9","d",318297,,311081,,7216,,777,,777,,0,,0,,3821,,2197,,1130,,432,,31,,21,,7,,0,,1,,2,,208,,37,,171,,1,,2409,
"20191231","S92000003","d","New Outpatient","Z9","d",280778,,273907,,6871,,713,,713,,0,,0,,3513,,1542,,1488,,416,,40,,17,,1,,0,,6,,3,,207,,66,,141,,2,,2436,
"20200331","S92000003","d","New Outpatient","Z9","d",255232,,249641,,5591,,836,,836,,0,,0,,2580,,725,,1562,,241,,18,,23,,0,,4,,4,,3,,74,,26,,48,,28,,2073,
"20200630","S92000003","d","New Outpatient","Z9","d",264266,,261155,,3111,,527,,527,,0,,0,,658,,87,,499,,50,,17,,1,,0,,0,,2,,2,,23,,17,,6,,69,,1834,
"20200930","S92000003","d","New Outpatient","Z9","d",317036,,313991,,3045,,485,,485,,0,,0,,731,,232,,369,,109,,10,,6,,2,,0,,1,,2,,44,,34,,10,,155,,1630,
"20201231","S92000003","d","New Outpatient","Z9","d",337323,,334192,,3131,,549,,549,,0,,0,,1410,,191,,1027,,151,,30,,6,,0,,0,,2,,3,,68,,29,,39,,480,,624,
"20210331","S92000003","d","New Outpatient","Z9","d",348270,,345404,,2866,,489,,488,,1,,0,,1066,,50,,844,,135,,17,,14,,2,,0,,1,,3,,54,,27,,27,,686,,571,
"20210630","S92000003","d","New Outpatient","Z9","d",392145,,388793,,3352,,889,,889,,0,,0,,1795,,626,,826,,309,,22,,9,,1,,0,,0,,2,,69,,49,,20,,179,,420,
"20210930","S92000003","d","New Outpatient","Z9","d",417233,,414040,,3193,,605,,605,,0,,0,,1569,,675,,669,,200,,8,,14,,1,,0,,0,,2,,69,,42,,27,,100,,850,
"20211231","S92000003","d","New Outpatient","Z9","d",414803,,411105,,3698,,557,,557,,0,,0,,2263,,802,,1215,,214,,16,,8,,2,,0,,4,,2,,130,,62,,68,,128,,620,
"20220331","S92000003","d","New Outpatient","Z9","d",421561,,418482,,3079,,498,,497,,1,,0,,1902,,721,,964,,173,,20,,20,,0,,0,,2,,2,,31,,15,,16,,139,,509,
"20121231","SB0801",,"New Outpatient","Z9","d",271,,185,,86,,73,,0,,0,,73,,12,,0,,0,,0,,0,,0,,0,,0,,0,,12,,0,,0,,0,,0,,1,
"20130331","SB0801",,"New Outpatient","Z9","d",196,,143,,53,,45,,0,,0,,45,,7,,0,,0,,0,,0,,0,,0,,0,,0,,7,,0,,0,,0,,0,,1,
"20130630","SB0801",,"New Outpatient","Z9","d",210,,168,,42,,36,,0,,0,,36,,5,,0,,0,,0,,0,,0,,0,,0,,0,,5,,0,,0,,0,,0,,1,
"20130930","SB0801",,"New Outpatient","Z9","d",192,,171,,21,,14,,0,,0,,14,,5,,0,,0,,0,,0,,0,,0,,0,,0,,5,,0,,0,,0,,0,,2,
"20131231","SB0801",,"New Outpatient","Z9","d",174,,155,,19,,14,,1,,0,,13,,5,,0,,1,,0,,0,,1,,0,,0,,0,,3,,0,,0,,0,,0,,0,
"20140331","SB0801",,"New Outpatient","Z9","d",203,,188,,15,,10,,10,,0,,0,,3,,0,,3,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,2,
"20140630","SB0801",,"New Outpatient","Z9","d",240,,226,,14,,5,,5,,0,,0,,9,,2,,5,,0,,0,,0,,0,,0,,2,,0,,0,,0,,0,,0,,0,
"20140930","SB0801",,"New Outpatient","Z9","d",198,,188,,10,,9,,9,,0,,0,,1,,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
"20141231","SB0801",,"New Outpatient","Z9","d",187,,170,,17,,12,,12,,0,,0,,5,,0,,5,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
"20150331","SB0801",,"New Outpatient","Z9","d",148,,128,,20,,18,,18,,0,,0,,2,,1,,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
"20150630","SB0801",,"New Outpatient","Z9","d",168,,161,,7,,5,,5,,0,,0,,2,,0,,2,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
"20150930","SB0801",,"New Outpatient","Z9","d",175,,152,,23,,15,,15,,0,,0,,8,,2,,5,,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
"20151231","SB0801",,"New Outpatient","Z9","d",226,,191,,35,,26,,26,,0,,0,,9,,1,,6,,2,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
"20160331","SB0801",,"New Outpatient","Z9","d",229,,205,,24,,19,,19,,0,,0,,5,,1,,4,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
"20160630","SB0801",,"New Outpatient","Z9","d",158,,144,,14,,12,,12,,0,,0,,2,,1,,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
"20160930","SB0801",,"New Outpatient","Z9","d",187,,179,,8,,7,,7,,0,,0,,1,,0,,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
"20161231","SB0801",,"New Outpatient","Z9","d",169,,156,,13,,9,,9,,0,,0,,4,,0,,1,,3,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
"20170331","SB0801",,"New Outpatient","Z9","d",216,,198,,18,,12,,12,,0,,0,,6,,2,,3,,0,,0,,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,
"20170630","SB0801",,"New Outpatient","Z9","d",227,,197,,30,,15,,15,,0,,0,,15,,3,,7,,2,,0,,3,,0,,0,,0,,0,,0,,0,,0,,0,,0,
"20170930","SB0801",,"New Outpatient","Z9","d",247,,225,,22,,16,,16,,0,,0,,6,,1,,3,,0,,0,,2,,0,,0,,0,,0,,0,,0,,0,,0,,0,
"20171231","SB0801",,"New Outpatient","Z9","d",221,,198,,23,,9,,9,,0,,0,,11,,0,,8,,2,,1,,0,,0,,0,,0,,0,,3,,3,,0,,0,,0,
"20180331","SB0801",,"New Outpatient","Z9","d",258,,221,,37,,20,,20,,0,,0,,14,,0,,10,,4,,0,,0,,0,,0,,0,,0,,3,,3,,0,,0,,0,
"20180630","SB0801",,"New Outpatient","Z9","d",265,,216,,49,,36,,36,,0,,0,,11,,4,,6,,1,,0,,0,,0,,0,,0,,0,,2,,2,,0,,0,,0,
"20180930","SB0801",,"New Outpatient","Z9","d",261,,198,,63,,43,,43,,0,,0,,11,,2,,7,,2,,0,,0,,0,,0,,0,,0,,9,,9,,0,,0,,0,
"20181231","SB0801",,"New Outpatient","Z9","d",274,,228,,46,,39,,39,,0,,0,,5,,0,,3,,1,,0,,1,,0,,0,,0,,0,,2,,2,,0,,0,,0,
"20190331","SB0801",,"New Outpatient","Z9","d",267,,241,,26,,23,,23,,0,,0,,3,,0,,2,,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
"20190630","SB0801",,"New Outpatient","Z9","d",325,,269,,56,,51,,51,,0,,0,,5,,2,,3,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
"20190930","SB0801",,"New Outpatient","Z9","d",332,,273,,59,,53,,53,,0,,0,,6,,0,,6,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
"20191231","SB0801",,"New Outpatient","Z9","d",299,,259,,40,,35,,35,,0,,0,,5,,0,,5,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
"20200331","SB0801",,"New Outpatient","Z9","d",325,,254,,71,,66,,66,,0,,0,,5,,0,,4,,0,,0,,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,
"20200630","SB0801",,"New Outpatient","Z9","d",241,,148,,93,,90,,90,,0,,0,,1,,0,,1,,0,,0,,0,,0,,0,,0,,0,,2,,2,,0,,0,,0,
"20200930","SB0801",,"New Outpatient","Z9","d",255,,186,,69,,64,,64,,0,,0,,3,,1,,2,,0,,0,,0,,0,,0,,0,,0,,2,,2,,0,,0,,0,
"20201231","SB0801",,"New Outpatient","Z9","d",234,,159,,75,,71,,71,,0,,0,,3,,0,,3,,0,,0,,0,,0,,0,,0,,0,,1,,1,,0,,0,,0,
"20210331","SB0801",,"New Outpatient","Z9","d",225,,133,,92,,88,,88,,0,,0,,4,,1,,2,,0,,0,,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,
"20210630","SB0801",,"New Outpatient","Z9","d",235,,147,,88,,84,,84,,0,,0,,3,,2,,1,,0,,0,,0,,0,,0,,0,,0,,1,,1,,0,,0,,0,
"20210930","SB0801",,"New Outpatient","Z9","d",235,,150,,85,,83,,83,,0,,0,,2,,1,,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
"20211231","SB0801",,"New Outpatient","Z9","d",255,,182,,73,,67,,67,,0,,0,,5,,0,,4,,1,,0,,0,,0,,0,,0,,0,,1,,0,,1,,0,,0,
"20220331","SB0801",,"New Outpatient","Z9","d",315,,291,,24,,22,,22,,0,,0,,2,,0,,2,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
"20121231","S08000017",,"New Outpatient","Z9","d",4437,,4272,,165,,14,,6,,2,,6,,111,,30,,2,,15,,3,,0,,0,,0,,26,,35,,24,,11,,13,,0,,16,
"20130331","S08000017",,"New Outpatient","Z9","d",4562,,4466,,96,,7,,3,,1,,3,,57,,12,,14,,5,,2,,1,,0,,0,,21,,2,,31,,15,,16,,0,,1,
"20130630","S08000017",,"New Outpatient","Z9","d",5042,,4890,,152,,4,,2,,1,,1,,103,,49,,21,,6,,3,,2,,0,,0,,22,,0,,41,,17,,24,,0,,4,
"20130930","S08000017",,"New Outpatient","Z9","d",4939,,4764,,175,,10,,9,,0,,1,,98,,33,,24,,17,,1,,2,,0,,0,,21,,0,,59,,23,,36,,0,,8,
"20131231","S08000017",,"New Outpatient","Z9","d",5291,,5105,,186,,9,,8,,1,,0,,118,,34,,37,,14,,2,,0,,0,,0,,31,,0,,48,,22,,26,,0,,11,
"20140331","S08000017",,"New Outpatient","Z9","d",4941,,4800,,141,,15,,15,,0,,0,,82,,19,,35,,7,,1,,3,,0,,0,,17,,0,,36,,16,,20,,0,,8,
"20140630","S08000017",,"New Outpatient","Z9","d",5835,,5674,,161,,21,,21,,0,,0,,102,,45,,44,,9,,2,,2,,0,,0,,0,,0,,33,,12,,21,,0,,5,
"20140930","S08000017",,"New Outpatient","Z9","d",5737,,5548,,189,,12,,12,,0,,0,,130,,49,,60,,20,,1,,0,,0,,0,,0,,0,,43,,12,,31,,0,,4,
"20141231","S08000017",,"New Outpatient","Z9","d",5493,,5310,,183,,10,,10,,0,,0,,124,,40,,73,,11,,0,,0,,0,,0,,0,,0,,38,,17,,21,,0,,11,
"20150331","S08000017",,"New Outpatient","Z9","d",5943,,5818,,125,,2,,2,,0,,0,,77,,20,,47,,7,,1,,2,,0,,0,,0,,0,,39,,23,,16,,0,,7,
"20150630","S08000017",,"New Outpatient","Z9","d",6912,,6711,,201,,6,,6,,0,,0,,145,,64,,66,,15,,0,,0,,0,,0,,0,,0,,46,,27,,19,,0,,4,
"20150930","S08000017",,"New Outpatient","Z9","d",6211,,6032,,179,,5,,5,,0,,0,,122,,57,,52,,13,,0,,0,,0,,0,,0,,0,,50,,19,,31,,0,,2,
"20151231","S08000017",,"New Outpatient","Z9","d",5884,,5703,,181,,6,,6,,0,,0,,114,,28,,73,,13,,0,,0,,0,,0,,0,,0,,46,,24,,22,,0,,15,
"20160331","S08000017",,"New Outpatient","Z9","d",6376,,6221,,155,,17,,17,,0,,0,,89,,40,,35,,12,,0,,1,,1,,0,,0,,0,,31,,17,,14,,0,,18,
"20160630","S08000017",,"New Outpatient","Z9","d",6312,,6116,,196,,28,,28,,0,,0,,118,,60,,46,,8,,1,,2,,0,,1,,0,,0,,25,,5,,20,,0,,25,
"20160930","S08000017",,"New Outpatient","Z9","d",5950,,5765,,185,,38,,38,,0,,0,,108,,53,,46,,9,,0,,0,,0,,0,,0,,0,,25,,1,,24,,0,,14,
"20161231","S08000017",,"New Outpatient","Z9","d",5174,,5015,,159,,22,,22,,0,,0,,99,,31,,58,,9,,0,,1,,0,,0,,0,,0,,16,,3,,13,,0,,22,
"20170331","S08000017",,"New Outpatient","Z9","d",5666,,5552,,114,,15,,15,,0,,0,,88,,26,,48,,14,,0,,0,,0,,0,,0,,0,,2,,1,,1,,0,,9,
"20170630","S08000017",,"New Outpatient","Z9","d",6728,,6520,,208,,10,,10,,0,,0,,175,,118,,39,,17,,0,,1,,0,,0,,0,,0,,7,,3,,4,,0,,16,
"20170930","S08000017",,"New Outpatient","Z9","d",6569,,6425,,144,,10,,10,,0,,0,,115,,61,,41,,12,,0,,1,,0,,0,,0,,0,,16,,1,,15,,0,,3,
"20171231","S08000017",,"New Outpatient","Z9","d",6370,,6256,,114,,10,,10,,0,,0,,57,,19,,34,,3,,0,,1,,0,,0,,0,,0,,3,,0,,3,,0,,44,
"20180331","S08000017",,"New Outpatient","Z9","d",5993,,5862,,131,,16,,16,,0,,0,,105,,38,,54,,11,,0,,2,,0,,0,,0,,0,,4,,0,,4,,0,,6,
"20180630","S08000017",,"New Outpatient","Z9","d",6157,,5986,,171,,14,,14,,0,,0,,136,,67,,58,,11,,0,,0,,0,,0,,0,,0,,8,,1,,7,,0,,13,
"20180930","S08000017",,"New Outpatient","Z9","d",6080,,5846,,234,,24,,24,,0,,0,,177,,85,,70,,20,,1,,1,,0,,0,,0,,0,,21,,0,,21,,0,,12,
"20181231","S08000017",,"New Outpatient","Z9","d",5816,,5636,,180,,14,,14,,0,,0,,130,,38,,74,,18,,0,,0,,0,,0,,0,,0,,23,,3,,20,,0,,13,
"20190331","S08000017",,"New Outpatient","Z9","d",5655,,5531,,124,,16,,16,,0,,0,,85,,28,,47,,8,,0,,2,,0,,0,,0,,0,,16,,0,,16,,0,,7,
"20190630","S08000017",,"New Outpatient","Z9","d",6359,,6151,,208,,62,,62,,0,,0,,112,,53,,52,,6,,0,,1,,0,,0,,0,,0,,28,,0,,28,,0,,6,
"20190930","S08000017",,"New Outpatient","Z9","d",6404,,6156,,248,,58,,58,,0,,0,,137,,48,,79,,10,,0,,0,,0,,0,,0,,0,,43,,2,,41,,0,,10,
"20191231","S08000017",,"New Outpatient","Z9","d",6419,,6185,,234,,90,,90,,0,,0,,115,,22,,84,,9,,0,,0,,0,,0,,0,,0,,19,,1,,18,,0,,10,
"20200331","S08000017",,"New Outpatient","Z9","d",5574,,5393,,181,,59,,59,,0,,0,,104,,15,,85,,3,,0,,0,,0,,1,,0,,0,,13,,1,,12,,0,,5,
"20200630","S08000017",,"New Outpatient","Z9","d",5670,,5631,,39,,22,,22,,0,,0,,15,,1,,14,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,2,
"20200930","S08000017",,"New Outpatient","Z9","d",7333,,7232,,101,,58,,58,,0,,0,,40,,6,,32,,2,,0,,0,,0,,0,,0,,0,,3,,0,,3,,0,,0,
"20201231","S08000017",,"New Outpatient","Z9","d",7719,,7617,,102,,28,,28,,0,,0,,67,,2,,64,,1,,0,,0,,0,,0,,0,,0,,7,,0,,7,,0,,0,
"20210331","S08000017",,"New Outpatient","Z9","d",8652,,8604,,48,,12,,12,,0,,0,,31,,0,,26,,3,,1,,1,,0,,0,,0,,0,,0,,0,,0,,5,,0,
"20210630","S08000017",,"New Outpatient","Z9","d",9523,,9145,,378,,321,,321,,0,,0,,49,,12,,34,,3,,0,,0,,0,,0,,0,,0,,7,,1,,6,,1,,0,
"20210930","S08000017",,"New Outpatient","Z9","d",9102,,8965,,137,,78,,78,,0,,0,,55,,17,,31,,6,,1,,0,,0,,0,,0,,0,,4,,1,,3,,0,,0,
"20211231","S08000017",,"New Outpatient","Z9","d",9946,,9834,,112,,50,,50,,0,,0,,59,,17,,37,,4,,1,,0,,0,,0,,0,,0,,3,,1,,2,,0,,0,
"20220331","S08000017",,"New Outpatient","Z9","d",10532,,10427,,105,,59,,59,,0,,0,,45,,13,,31,,1,,0,,0,,0,,0,,0,,0,,1,,0,,1,,0,,0,
"20121231","S08000019",,"New Outpatient","Z9","d",12271,,12096,,175,,4,,0,,0,,4,,106,,0,,0,,0,,0,,0,,0,,0,,0,,106,,0,,0,,0,,0,,65,
"20130331","S08000019",,"New Outpatient","Z9","d",13116,,12954,,162,,3,,0,,0,,3,,87,,0,,0,,0,,0,,0,,0,,0,,0,,87,,0,,0,,0,,0,,72,
"20130630","S08000019",,"New Outpatient","Z9","d",13777,,13598,,179,,3,,1,,0,,2,,155,,1,,4,,0,,0,,0,,0,,0,,0,,150,,0,,0,,0,,0,,21,
"20130930","S08000019",,"New Outpatient","Z9","d",13699,,13564,,135,,7,,7,,0,,0,,117,,71,,18,,21,,0,,0,,0,,0,,0,,7,,0,,0,,0,,0,,11,
"20131231","S08000019",,"New Outpatient","Z9","d",12347,,12213,,134,,6,,6,,0,,0,,118,,51,,40,,23,,1,,2,,0,,0,,0,,1,,2,,2,,0,,0,,8,
"20140331","S08000019",,"New Outpatient","Z9","d",11344,,11204,,140,,3,,3,,0,,0,,130,,56,,43,,26,,3,,2,,0,,0,,0,,0,,2,,0,,2,,0,,5,
"20140630","S08000019",,"New Outpatient","Z9","d",10924,,10636,,288,,12,,12,,0,,0,,268,,180,,54,,30,,1,,3,,0,,0,,0,,0,,1,,1,,0,,0,,7,
"20140930","S08000019",,"New Outpatient","Z9","d",10419,,10239,,180,,4,,4,,0,,0,,153,,104,,29,,18,,0,,2,,0,,0,,0,,0,,3,,3,,0,,0,,20,
"20141231","S08000019",,"New Outpatient","Z9","d",11350,,11128,,222,,3,,3,,0,,0,,162,,70,,62,,26,,2,,2,,0,,0,,0,,0,,14,,3,,11,,0,,43,
"20150331","S08000019",,"New Outpatient","Z9","d",11108,,10968,,140,,4,,4,,0,,0,,127,,52,,44,,27,,2,,2,,0,,0,,0,,0,,8,,1,,7,,0,,1,
"20150630","S08000019",,"New Outpatient","Z9","d",11892,,11608,,284,,6,,6,,0,,0,,257,,200,,34,,22,,0,,1,,0,,0,,0,,0,,10,,1,,9,,0,,11,
"20150930","S08000019",,"New Outpatient","Z9","d",12250,,12020,,230,,11,,11,,0,,0,,188,,109,,44,,32,,1,,2,,0,,0,,0,,0,,22,,1,,21,,0,,9,
"20151231","S08000019",,"New Outpatient","Z9","d",12692,,12446,,246,,7,,7,,0,,0,,192,,89,,58,,36,,3,,6,,0,,0,,0,,0,,18,,2,,16,,0,,29,
"20160331","S08000019",,"New Outpatient","Z9","d",12780,,12636,,144,,1,,1,,0,,0,,104,,48,,28,,25,,2,,1,,0,,0,,0,,0,,14,,3,,11,,0,,25,
"20160630","S08000019",,"New Outpatient","Z9","d",15233,,14993,,240,,5,,5,,0,,0,,209,,158,,28,,20,,1,,2,,0,,0,,0,,0,,3,,1,,2,,0,,23,
"20160930","S08000019",,"New Outpatient","Z9","d",14944,,14768,,176,,5,,5,,0,,0,,137,,96,,22,,19,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,34,
"20161231","S08000019",,"New Outpatient","Z9","d",14384,,14141,,243,,2,,2,,0,,0,,150,,67,,50,,30,,1,,2,,0,,0,,0,,0,,3,,3,,0,,0,,88,
"20170331","S08000019",,"New Outpatient","Z9","d",13392,,13235,,157,,5,,5,,0,,0,,124,,75,,22,,22,,3,,2,,0,,0,,0,,0,,5,,5,,0,,0,,23,
"20170630","S08000019",,"New Outpatient","Z9","d",13846,,13515,,331,,2,,2,,0,,0,,257,,172,,47,,33,,4,,1,,0,,0,,0,,0,,3,,1,,2,,0,,69,
"20170930","S08000019",,"New Outpatient","Z9","d",13759,,13487,,272,,2,,2,,0,,0,,236,,174,,38,,23,,0,,1,,0,,0,,0,,0,,5,,0,,5,,0,,29,
"20171231","S08000019",,"New Outpatient","Z9","d",12945,,12657,,288,,3,,3,,0,,0,,146,,75,,56,,14,,1,,0,,0,,0,,0,,0,,4,,1,,3,,0,,135,
