FinancialYear,FinancialYearQF,HB,HBQF,Specialty,SpecialtyQF,SpecialtyName,SpecialtyNameQF,SpecialtyGrouping,SpecialtyGroupingQF,AverageAvailableStaffedBeds,AverageAvailableStaffedBedsQF,PercentageOccupancy,PercentageOccupancyQF,AllStaffedBeds,AllStaffedBedsQF,AverageOccupiedBeds,AverageOccupiedBedsQF,TotalOccupiedBeds,TotalOccupiedBedsQF
2011/12,"",S08000015,"",,z,Emergency Grouping,d,Emergency Grouping,"",11,"",45.1,"",4167,"",5.131147540983607,"",1878,""
2011/12,"",S08000015,"",,z,Learning Disability Grouping,d,Learning Disability Grouping,"",20,"",71.7,"",7404,"",14.510928961748634,"",5311,""
2011/12,"",S08000015,"",,z,Medical Grouping,d,Medical Grouping,"",694,"",86.6,"",253826,"",600.724043715847,"",219865,""
2011/12,"",S08000015,"",,z,Mental Health Grouping,d,Mental Health Grouping,"",296,"",72.8,"",108435,"",215.72677595628414,"",78956,""
2011/12,"",S08000015,"",,z,Other Grouping,d,Other Grouping,"",149,"",75.7,"",54571,"",112.85792349726776,"",41306,""
2011/12,"",S08000015,"",,z,Paediatrics Grouping,d,Paediatrics Grouping,"",39,"",64.9,"",14299,"",25.366120218579233,"",9284,""
2011/12,"",S08000015,"",,z,Surgery Grouping,d,Surgery Grouping,"",296,"",75.6,"",108340,"",223.72131147540983,"",81882,""
2011/12,"",S08000015,"",,z,Women and Newborn Grouping,d,Women and Newborn Grouping,"",70,"",60.7,"",25776,"",42.72950819672131,"",15639,""
2011/12,"",S08000016,"",A1,"",General Medicine,"",Medical Grouping,"",112,"",87.1,"",41107,"",97.78688524590164,"",35790,""
2011/12,"",S08000016,"",A2,"",Cardiology,"",Medical Grouping,"",10,"",100,"",3523,"",9.62568306010929,"",3523,""
2011/12,"",S08000016,"",A8,"",Endocrinology & Diabetes,"",Medical Grouping,"",0,"",100,"",5,"",0.01366120218579235,"",5,""
2011/12,"",S08000016,"",A9,"",Gastroenterology,"",Medical Grouping,"",0,"",100,"",43,"",0.11748633879781421,"",43,""
2011/12,"",S08000016,"",AB,"",Geriatric Medicine,"",Medical Grouping,"",48,"",96,"",17631,"",46.259562841530055,"",16931,""
2011/12,"",S08000016,"",AD,"",Medical Oncology,"",Medical Grouping,"",0,"",,z,0,"",0,"",0,""
2011/12,"",S08000016,"",AF,"",Paediatrics,"",Paediatrics Grouping,"",15,"",41.8,"",5319,"",6.079234972677596,"",2225,""
2011/12,"",S08000016,"",AH,"",Neurology,"",Medical Grouping,"",1,"",100,"",327,"",0.8934426229508197,"",327,""
2011/12,"",S08000016,"",AM,"",Palliative Medicine,"",Medical Grouping,"",5,"",89,"",1694,"",4.117486338797814,"",1507,""
2011/12,"",S08000016,"",AQ,"",Respiratory Medicine,"",Medical Grouping,"",0,"",100,"",113,"",0.3087431693989071,"",113,""
2011/12,"",S08000016,"",AR,"",Rheumatology,"",Medical Grouping,"",0,"",100,"",2,"",0.00546448087431694,"",2,""
2011/12,"",S08000016,"",C1,"",General Surgery,"",Surgery Grouping,"",29,"",78.7,"",10672,"",22.94808743169399,"",8399,""
2011/12,"",S08000016,"",C13,"",Oral and Maxillofacial Surgery,"",Surgery Grouping,"",0,"",,z,0,"",0,"",0,""
2011/12,"",S08000016,"",C3,"",Anaesthetics,"",Surgery Grouping,"",3,"",11.8,"",1181,"",0.3797814207650273,"",139,""
2011/12,"",S08000016,"",C5,"","Ear, Nose & Throat (ENT)","",Surgery Grouping,"",0,"",100,"",100,"",0.273224043715847,"",100,""
2011/12,"",S08000016,"",C7,"",Ophthalmology,"",Surgery Grouping,"",3,"",4.3,"",1048,"",0.12295081967213115,"",45,""
2011/12,"",S08000016,"",C8,"",Trauma and Orthopaedic Surgery,"",Surgery Grouping,"",32,"",73.6,"",11568,"",23.275956284153004,"",8519,""
2011/12,"",S08000016,"",CB,"",Urology,"",Surgery Grouping,"",3,"",64.3,"",1245,"",2.1885245901639343,"",801,""
2011/12,"",S08000016,"",D3,"",Oral Surgery,"",Dental Grouping,"",0,"",100,"",4,"",0.01092896174863388,"",4,""
2011/12,"",S08000016,"",D6,"",Restorative Dentistry,"",Dental Grouping,"",0,"",100,"",5,"",0.01366120218579235,"",5,""
2011/12,"",S08000016,"",E12,"",GP Other than Obstetrics,"",Community Grouping,"",39,"",91.8,"",14138,"",35.46174863387978,"",12979,""
2011/12,"",S08000016,"",F2,"",Gynaecology,"",Women and Newborn Grouping,"",12,"",24.3,"",4567,"",3.030054644808743,"",1109,""
2011/12,"",S08000016,"",F3,"",Obstetrics,"",Women and Newborn Grouping,"",22,"",35.8,"",8045,"",7.863387978142076,"",2878,""
2011/12,"",S08000016,"",G1,"",General Psychiatry (Mental Illness),"",Mental Health Grouping,"",46,"",75.6,"",16964,"",35.040983606557376,"",12825,""
2011/12,"",S08000016,"",G4,"",Psychiatry of Old Age,"",Mental Health Grouping,"",48,"",81.8,"",17407,"",38.88251366120219,"",14231,""
2011/12,"",S08000016,"",GLS,"",Geriatric Medicine - long stay unit,"",Other Grouping,"",50,"",86.6,"",18280,"",43.259562841530055,"",15833,""
2011/12,"",S08000016,"",J4,"",Haematology,"",Medical Grouping,"",2,"",100,"",842,"",2.300546448087432,"",842,""
2011/12,"",S08000016,"",T2,"",Midwifery,"",Women and Newborn Grouping,"",0,"",100,"",30,"",0.08196721311475409,"",30,""
2011/12,"",S08000016,"",,z,All Acute Specialties,d,All Acute Specialties,d,249,"",84.6,"",91101,"",210.61748633879782,"",77086,""
2011/12,"",S08000016,"",,z,All Specialties,d,All Specialties,d,480,"",79.2,"",175860,"",380.3415300546448,"",139205,""
2011/12,"",S08000016,"",,z,Community Grouping,d,Community Grouping,"",39,"",91.8,"",14138,"",35.46174863387978,"",12979,""
2011/12,"",S08000016,"",,z,Dental Grouping,d,Dental Grouping,"",0,"",100,"",9,"",0.02459016393442623,"",9,""
2011/12,"",S08000016,"",,z,Medical Grouping,d,Medical Grouping,"",178,"",90.5,"",65287,"",161.42896174863387,"",59083,""
2011/12,"",S08000016,"",,z,Mental Health Grouping,d,Mental Health Grouping,"",94,"",78.7,"",34371,"",73.92349726775956,"",27056,""
2011/12,"",S08000016,"",,z,Other Grouping,d,Other Grouping,"",50,"",86.6,"",18280,"",43.259562841530055,"",15833,""
2011/12,"",S08000016,"",,z,Paediatrics Grouping,d,Paediatrics Grouping,"",15,"",41.8,"",5319,"",6.079234972677596,"",2225,""
2011/12,"",S08000016,"",,z,Surgery Grouping,d,Surgery Grouping,"",71,"",69.7,"",25814,"",49.18852459016394,"",18003,""
2011/12,"",S08000016,"",,z,Women and Newborn Grouping,d,Women and Newborn Grouping,"",35,"",31.8,"",12642,"",10.975409836065573,"",4017,""
2011/12,"",S08000017,"",A1,"",General Medicine,"",Medical Grouping,"",67,"",83.4,"",24616,"",56.122950819672134,"",20541,""
2011/12,"",S08000017,"",A2,"",Cardiology,"",Medical Grouping,"",14,"",100,"",5143,"",14.051912568306012,"",5143,""
2011/12,"",S08000017,"",A7,"",Dermatology,"",Medical Grouping,"",0,"",100,"",148,"",0.40437158469945356,"",148,""
2011/12,"",S08000017,"",A8,"",Endocrinology & Diabetes,"",Medical Grouping,"",0,"",,z,0,"",0,"",0,""
2011/12,"",S08000017,"",A9,"",Gastroenterology,"",Medical Grouping,"",1,"",100,"",330,"",0.9016393442622951,"",330,""
2011/12,"",S08000017,"",AB,"",Geriatric Medicine,"",Medical Grouping,"",107,"",69.8,"",39189,"",74.71311475409836,"",27345,""
2011/12,"",S08000017,"",AF,"",Paediatrics,"",Paediatrics Grouping,"",23,"",44.7,"",8328,"",10.172131147540984,"",3723,""
2011/12,"",S08000017,"",AH,"",Neurology,"",Medical Grouping,"",0,"",100,"",39,"",0.10655737704918032,"",39,""
2011/12,"",S08000017,"",AM,"",Palliative Medicine,"",Medical Grouping,"",10,"",93.7,"",3814,"",9.762295081967213,"",3573,""
2011/12,"",S08000017,"",AP,"",Rehabilitation Medicine,"",Medical Grouping,"",21,"",66.8,"",7734,"",14.109289617486338,"",5164,""
2011/12,"",S08000017,"",AQ,"",Respiratory Medicine,"",Medical Grouping,"",16,"",98.3,"",5905,"",15.8551912568306,"",5803,""
2011/12,"",S08000017,"",AR,"",Rheumatology,"",Medical Grouping,"",0,"",100,"",14,"",0.03825136612021858,"",14,""
2011/12,"",S08000017,"",C1,"",General Surgery,"",Surgery Grouping,"",66,"",67,"",23994,"",43.91803278688525,"",16074,""
2011/12,"",S08000017,"",C2,"",Accident & Emergency,"",Emergency Grouping,"",1,"",0,"",428,"",0,"",0,""
2011/12,"",S08000017,"",C3,"",Anaesthetics,"",Surgery Grouping,"",0,"",100,"",1,"",0.00273224043715847,"",1,""
2011/12,"",S08000017,"",C5,"","Ear, Nose & Throat (ENT)","",Surgery Grouping,"",7,"",22,"",2719,"",1.6366120218579234,"",599,""
2011/12,"",S08000017,"",C7,"",Ophthalmology,"",Surgery Grouping,"",1,"",32.3,"",499,"",0.43989071038251365,"",161,""
2011/12,"",S08000017,"",C8,"",Trauma and Orthopaedic Surgery,"",Surgery Grouping,"",32,"",83.9,"",11650,"",26.691256830601095,"",9769,""
2011/12,"",S08000017,"",CB,"",Urology,"",Surgery Grouping,"",4,"",100,"",1515,"",4.139344262295082,"",1515,""
2011/12,"",S08000017,"",D1,"",Community Dental Practice,"",Dental Grouping,"",0,"",100,"",5,"",0.01366120218579235,"",5,""
2011/12,"",S08000017,"",D3,"",Oral Surgery,"",Dental Grouping,"",1,"",39.4,"",538,"",0.5792349726775956,"",212,""
2011/12,"",S08000017,"",E11,"",GP Obstetrics,"",Women and Newborn Grouping,"",4,"",3.7,"",1464,"",0.14754098360655737,"",54,""
2011/12,"",S08000017,"",E12,"",GP Other than Obstetrics,"",Community Grouping,"",135,"",68.8,"",49361,"",92.72131147540983,"",33936,""
2011/12,"",S08000017,"",F2,"",Gynaecology,"",Women and Newborn Grouping,"",11,"",36.1,"",3939,"",3.8852459016393444,"",1422,""
2011/12,"",S08000017,"",F3,"",Obstetrics,"",Women and Newborn Grouping,"",28,"",33.9,"",10382,"",9.609289617486338,"",3517,""
2011/12,"",S08000017,"",G1,"",General Psychiatry (Mental Illness),"",Mental Health Grouping,"",55,"",64.9,"",20063,"",35.59289617486339,"",13027,""
2011/12,"",S08000017,"",G4,"",Psychiatry of Old Age,"",Mental Health Grouping,"",68,"",55.4,"",24903,"",37.677595628415304,"",13790,""
2011/12,"",S08000017,"",G5,"",Learning Disability,"",Learning Disability Grouping,"",19,"",40,"",6907,"",7.551912568306011,"",2764,""
2011/12,"",S08000017,"",GLS,"",Geriatric Medicine - long stay unit,"",Other Grouping,"",0,"",100,"",94,"",0.2568306010928962,"",94,""
2011/12,"",S08000017,"",H2,"",Clinical Oncology,"",Medical Grouping,"",0,"",,z,0,"",0,"",0,""
2011/12,"",S08000017,"",J4,"",Haematology,"",Medical Grouping,"",4,"",100,"",1469,"",4.0136612021857925,"",1469,""
2011/12,"",S08000017,"",XSU,"",Unspecified,"",Other Grouping,"",16,"",0,"",5958,"",0,"",0,""
2011/12,"",S08000017,"",,z,All Acute Specialties,d,All Acute Specialties,d,352,"",75.9,"",128779,"",266.90710382513663,"",97688,""
2011/12,"",S08000017,"",,z,All Specialties,d,All Specialties,d,714,"",65.2,"",261149,"",465.11475409836066,"",170232,""
2011/12,"",S08000017,"",,z,Community Grouping,d,Community Grouping,"",135,"",68.8,"",49361,"",92.72131147540983,"",33936,""
2011/12,"",S08000017,"",,z,Dental Grouping,d,Dental Grouping,"",1,"",40,"",543,"",0.592896174863388,"",217,""
2011/12,"",S08000017,"",,z,Emergency Grouping,d,Emergency Grouping,"",1,"",0,"",428,"",0,"",0,""
2011/12,"",S08000017,"",,z,Learning Disability Grouping,d,Learning Disability Grouping,"",19,"",40,"",6907,"",7.551912568306011,"",2764,""
2011/12,"",S08000017,"",,z,Medical Grouping,d,Medical Grouping,"",242,"",78.7,"",88401,"",190.0792349726776,"",69569,""
2011/12,"",S08000017,"",,z,Mental Health Grouping,d,Mental Health Grouping,"",123,"",59.6,"",44966,"",73.27049180327869,"",26817,""
2011/12,"",S08000017,"",,z,Other Grouping,d,Other Grouping,"",17,"",1.6,"",6052,"",0.2568306010928962,"",94,""
2011/12,"",S08000017,"",,z,Paediatrics Grouping,d,Paediatrics Grouping,"",23,"",44.7,"",8328,"",10.172131147540984,"",3723,""
2011/12,"",S08000017,"",,z,Surgery Grouping,d,Surgery Grouping,"",110,"",69.6,"",40378,"",76.82786885245902,"",28119,""
2011/12,"",S08000017,"",,z,Women and Newborn Grouping,d,Women and Newborn Grouping,"",43,"",31.6,"",15785,"",13.642076502732241,"",4993,""
2011/12,"",S08000019,"",A1,"",General Medicine,"",Medical Grouping,"",129,"",91.2,"",47092,"",117.30874316939891,"",42935,""
2011/12,"",S08000019,"",A2,"",Cardiology,"",Medical Grouping,"",15,"",85.9,"",5332,"",12.51639344262295,"",4581,""
2011/12,"",S08000019,"",A8,"",Endocrinology & Diabetes,"",Medical Grouping,"",0,"",100,"",51,"",0.13934426229508196,"",51,""
2011/12,"",S08000019,"",A9,"",Gastroenterology,"",Medical Grouping,"",2,"",95.7,"",557,"",1.4562841530054644,"",533,""
2011/12,"",S08000019,"",AB,"",Geriatric Medicine,"",Medical Grouping,"",257,"",95.3,"",93934,"",244.62568306010928,"",89533,""
2011/12,"",S08000019,"",AF,"",Paediatrics,"",Paediatrics Grouping,"",51,"",44.5,"",18525,"",22.51912568306011,"",8242,""
2011/12,"",S08000019,"",AG,"",Renal Medicine,"",Medical Grouping,"",0,"",100,"",1,"",0.00273224043715847,"",1,""
2011/12,"",S08000019,"",AH,"",Neurology,"",Medical Grouping,"",1,"",100,"",480,"",1.3114754098360655,"",480,""
2011/12,"",S08000019,"",AP,"",Rehabilitation Medicine,"",Medical Grouping,"",5,"",88.6,"",1981,"",4.795081967213115,"",1755,""
2011/12,"",S08000019,"",AQ,"",Respiratory Medicine,"",Medical Grouping,"",14,"",86.5,"",5143,"",12.158469945355192,"",4450,""
2011/12,"",S08000019,"",AR,"",Rheumatology,"",Medical Grouping,"",0,"",100,"",28,"",0.07650273224043716,"",28,""
2011/12,"",S08000019,"",C1,"",General Surgery,"",Surgery Grouping,"",89,"",90.2,"",32704,"",80.6120218579235,"",29504,""
2011/12,"",S08000019,"",C13,"",Oral and Maxillofacial Surgery,"",Surgery Grouping,"",1,"",90.3,"",247,"",0.6092896174863388,"",223,""
2011/12,"",S08000019,"",C2,"",Accident & Emergency,"",Emergency Grouping,"",1,"",100,"",306,"",0.8360655737704918,"",306,""
2011/12,"",S08000019,"",C3,"",Anaesthetics,"",Surgery Grouping,"",0,"",100,"",4,"",0.01092896174863388,"",4,""
2011/12,"",S08000019,"",C5,"","Ear, Nose & Throat (ENT)","",Surgery Grouping,"",6,"",96.2,"",2366,"",6.221311475409836,"",2277,""
2011/12,"",S08000019,"",C7,"",Ophthalmology,"",Surgery Grouping,"",1,"",93.8,"",389,"",0.9972677595628415,"",365,""
2011/12,"",S08000019,"",C8,"",Trauma and Orthopaedic Surgery,"",Surgery Grouping,"",47,"",90.1,"",17194,"",42.34153005464481,"",15497,""
2011/12,"",S08000019,"",CA,"",Paediatric Surgery,"",Paediatrics Grouping,"",0,"",100,"",12,"",0.03278688524590164,"",12,""
2011/12,"",S08000019,"",CB,"",Urology,"",Surgery Grouping,"",12,"",93,"",4261,"",10.8224043715847,"",3961,""
2011/12,"",S08000019,"",D3,"",Oral Surgery,"",Dental Grouping,"",0,"",100,"",61,"",0.16666666666666666,"",61,""
2011/12,"",S08000019,"",F2,"",Gynaecology,"",Women and Newborn Grouping,"",12,"",63.4,"",4488,"",7.773224043715847,"",2845,""
2011/12,"",S08000019,"",F3,"",Obstetrics,"",Women and Newborn Grouping,"",33,"",67.2,"",12142,"",22.278688524590162,"",8154,""
2011/12,"",S08000019,"",G1,"",General Psychiatry (Mental Illness),"",Mental Health Grouping,"",128,"",76.4,"",47002,"",98.09289617486338,"",35902,""
2011/12,"",S08000019,"",G4,"",Psychiatry of Old Age,"",Mental Health Grouping,"",103,"",80.3,"",37866,"",83.04918032786885,"",30396,""
2011/12,"",S08000019,"",G5,"",Learning Disability,"",Learning Disability Grouping,"",26,"",95.2,"",9516,"",24.756830601092897,"",9061,""
2011/12,"",S08000019,"",GLS,"",Geriatric Medicine - long stay unit,"",Other Grouping,"",144,"",93.3,"",52693,"",134.38524590163934,"",49185,""
2011/12,"",S08000019,"",J4,"",Haematology,"",Medical Grouping,"",7,"",85.1,"",2444,"",5.683060109289618,"",2080,""
2011/12,"",S08000019,"",,z,All Acute Specialties,d,All Acute Specialties,d,585,"",92.6,"",214208,"",541.688524590164,"",198258,""
2011/12,"",S08000019,"",,z,All Specialties,d,All Specialties,d,1084,"",86.3,"",396819,"",935.5792349726776,"",342422,""
2011/12,"",S08000019,"",,z,Dental Grouping,d,Dental Grouping,"",0,"",100,"",61,"",0.16666666666666666,"",61,""
2011/12,"",S08000019,"",,z,Emergency Grouping,d,Emergency Grouping,"",1,"",100,"",306,"",0.8360655737704918,"",306,""
2011/12,"",S08000019,"",,z,Learning Disability Grouping,d,Learning Disability Grouping,"",26,"",95.2,"",9516,"",24.756830601092897,"",9061,""
2011/12,"",S08000019,"",,z,Medical Grouping,d,Medical Grouping,"",429,"",93.2,"",157043,"",400.07377049180326,"",146427,""
2011/12,"",S08000019,"",,z,Mental Health Grouping,d,Mental Health Grouping,"",232,"",78.1,"",84868,"",181.14207650273224,"",66298,""
2011/12,"",S08000019,"",,z,Other Grouping,d,Other Grouping,"",144,"",93.3,"",52693,"",134.38524590163934,"",49185,""
2011/12,"",S08000019,"",,z,Paediatrics Grouping,d,Paediatrics Grouping,"",51,"",44.5,"",18537,"",22.55191256830601,"",8254,""
2011/12,"",S08000019,"",,z,Surgery Grouping,d,Surgery Grouping,"",156,"",90.7,"",57165,"",141.61475409836066,"",51831,""
2011/12,"",S08000019,"",,z,Women and Newborn Grouping,d,Women and Newborn Grouping,"",45,"",66.1,"",16630,"",30.05191256830601,"",10999,""
2011/12,"",S08000020,"",A1,"",General Medicine,"",Medical Grouping,"",248,e,77.5,e,90839,e,192.4071038251366,e,70421,e
2011/12,"",S08000020,"",A2,"",Cardiology,"",Medical Grouping,"",48,e,91.7,e,17624,e,44.13934426229508,e,16155,e
2011/12,"",S08000020,"",A6,"",Infectious Diseases,"",Medical Grouping,"",22,e,87.4,e,8000,e,19.101092896174862,e,6991,e
2011/12,"",S08000020,"",A7,"",Dermatology,"",Medical Grouping,"",6,e,77.9,e,2353,e,5.0109289617486334,e,1834,e
2011/12,"",S08000020,"",A8,"",Endocrinology & Diabetes,"",Medical Grouping,"",3,e,34.3,e,1084,e,1.0163934426229508,e,372,e
2011/12,"",S08000020,"",A9,"",Gastroenterology,"",Medical Grouping,"",40,e,97.2,e,14739,e,39.15300546448088,e,14330,e
2011/12,"",S08000020,"",AB,"",Geriatric Medicine,"",Medical Grouping,"",181,e,94.4,e,66084,e,170.4672131147541,e,62391,e
2011/12,"",S08000020,"",AD,"",Medical Oncology,"",Medical Grouping,"",18,e,88.5,e,6422,e,15.521857923497267,e,5681,e
2011/12,"",S08000020,"",AF,"",Paediatrics,"",Paediatrics Grouping,"",75,e,63.8,e,27365,e,47.702185792349724,e,17459,e
2011/12,"",S08000020,"",AG,"",Renal Medicine,"",Medical Grouping,"",20,e,96.4,e,7148,e,18.83606557377049,e,6894,e
2011/12,"",S08000020,"",AH,"",Neurology,"",Medical Grouping,"",11,e,84.7,e,4167,e,9.642076502732241,e,3529,e
2011/12,"",S08000020,"",AM,"",Palliative Medicine,"",Medical Grouping,"",21,e,87.5,e,7577,e,18.12295081967213,e,6633,e
2011/12,"",S08000020,"",AP,"",Rehabilitation Medicine,"",Medical Grouping,"",100,e,81.8,e,36691,e,81.96448087431693,e,29999,e
2011/12,"",S08000020,"",AQ,"",Respiratory Medicine,"",Medical Grouping,"",37,e,81.8,e,13563,e,30.31967213114754,e,11097,e
2011/12,"",S08000020,"",AR,"",Rheumatology,"",Medical Grouping,"",3,e,58.9,e,1104,e,1.7759562841530054,e,650,e
2011/12,"",S08000020,"",C1,"",General Surgery,"",Surgery Grouping,"",172,e,84.8,e,62826,e,145.5983606557377,e,53289,e
2011/12,"",S08000020,"",C13,"",Oral and Maxillofacial Surgery,"",Surgery Grouping,"",1,e,100,e,356,e,0.9726775956284153,e,356,e
2011/12,"",S08000020,"",C2,"",Accident & Emergency,"",Emergency Grouping,"",16,e,45.9,e,5678,e,7.120218579234972,e,2606,e
2011/12,"",S08000020,"",C3,"",Anaesthetics,"",Surgery Grouping,"",13,e,73.9,e,4627,e,9.346994535519126,e,3421,e
2011/12,"",S08000020,"",C4,"",Cardiothoracic Surgery,"",Surgery Grouping,"",37,e,72.7,e,13449,e,26.71311475409836,e,9777,e
2011/12,"",S08000020,"",C5,"","Ear, Nose & Throat (ENT)","",Surgery Grouping,"",20,e,49.9,e,7399,e,10.095628415300547,e,3695,e
2011/12,"",S08000020,"",C6,"",Neurosurgery,"",Surgery Grouping,"",25,e,87.3,e,9212,e,21.975409836065573,e,8043,e
2011/12,"",S08000020,"",C7,"",Ophthalmology,"",Surgery Grouping,"",8,e,61.8,e,3014,e,5.092896174863388,e,1864,e
2011/12,"",S08000020,"",C8,"",Trauma and Orthopaedic Surgery,"",Surgery Grouping,"",162,e,69.6,e,59311,e,112.70765027322405,e,41251,e
2011/12,"",S08000020,"",C9,"",Plastic Surgery,"",Surgery Grouping,"",18,e,62.3,e,6609,e,11.254098360655737,e,4119,e
2011/12,"",S08000020,"",CA,"",Paediatric Surgery,"",Paediatrics Grouping,"",13,e,43.4,e,4594,e,5.442622950819672,e,1992,e
2011/12,"",S08000020,"",CB,"",Urology,"",Surgery Grouping,"",29,e,81.4,e,10751,e,23.904371584699454,e,8749,e
